gene_symbol	gene_id	chrom	pops_score	magma_z	magma_p
MAPRE1	ENSG00000101367	20	0.1652163413624684	1.053	0.14615999999999998
DDOST	ENSG00000244038	1	0.16519583368788654	-1.4140000000000001	0.92132
FBXL14	ENSG00000171823	12	0.1651876518444084	0.59937	0.27446
THAP11	ENSG00000168286	16	0.16514524094343586		
INTS8	ENSG00000164941	8	0.16503499323021142	1.6874	0.045768
TDRD3	ENSG00000083544	13	0.1650116377284565	2.4111	0.007951699999999999
TRAM1	ENSG00000067167	8	0.1649782104394469	-0.93422	0.82491
FAM189B	ENSG00000160767	1	0.1649602926295413	1.9134	0.027851
TOMM22	ENSG00000100216	22	0.16495445664956898	0.37779	0.3528
RUVBL1	ENSG00000175792	3	0.16494391717992346	2.5122	0.0059996
DYM	ENSG00000141627	18	0.16494309701233878	2.4132	0.0079076
MAP2K6	ENSG00000108984	17	0.16487523408005506	2.3609	0.0091146
NUMBL	ENSG00000105245	19	0.16484364739160545	-0.53827	0.7048
RAD9A	ENSG00000172613	11	0.16480498518904296	2.4628	0.0068935
WDR83OS	ENSG00000105583	19	0.16477840714425065	2.9761	0.0014599
SP9	ENSG00000217236	2	0.16476274257966314	3.2547	0.00056764
HS3ST1	ENSG00000002587	4	0.16473220837407607	1.6249	0.052087
ORMDL1	ENSG00000128699	2	0.16464565278635254	1.3906	0.08217200000000001
C16orf13	ENSG00000130731	16	0.164608988053424	0.18191	0.42783000000000004
ACADVL	ENSG00000072778	17	0.1645571521548154	2.7510000000000003	0.0029703000000000004
LANCL2	ENSG00000132434	7	0.1644501758744566	0.92843	0.17659
MMS19	ENSG00000155229	10	0.16444217532343744	0.46702	0.32024
LMAN1	ENSG00000074695	18	0.1644331341029811	-0.30875	0.62124
MUS81	ENSG00000172732	11	0.16441850608793673	1.4513	0.073354
PRPF6	ENSG00000101161	20	0.16441338216817653	1.2988	0.096999
RNF139	ENSG00000170881	8	0.1644038995071719	0.9974700000000001	0.15927
NAA40	ENSG00000110583	11	0.1643985830664433	3.7728	8.0716e-05
MLLT1	ENSG00000130382	19	0.1643786493680982	1.6378	0.050730000000000004
COPS7B	ENSG00000144524	2	0.16431756000133366	-0.4926	0.68885
CD27	ENSG00000139193	12	0.1642464911821523	-0.5736	0.7168800000000001
LIN28B	ENSG00000187772	6	0.1642445897205931	3.9566	3.8014e-05
SMPD4	ENSG00000136699	2	0.16416590874212025	-1.9945	0.97695
NARFL	ENSG00000103245	16	0.16407283007255055	2.3553	0.009253200000000001
RRBP1	ENSG00000125844	20	0.16407013936441886	2.2764	0.011412
RANBP10	ENSG00000141084	16	0.1640161277264074	3.6539	0.00012916
FBXL6	ENSG00000182325	8	0.16400771503366154	1.3923	0.08192100000000001
