compartment,tf,n_donors,regulon_size_raw,regulon_size_after_sasp12,regulon_size_after_senmayo,n_sasp_removed,n_senmayo_removed,raw_aucell_rho,clean12_aucell_rho,clean_senmayo_aucell_rho,mrna_rho,delta_clean12,delta_clean_senmayo,size_matched_null_ci_low,size_matched_null_ci_high,size_matched_null_n,size_matched_null_median_delta,age_shuffle_p_empirical,fisher_z_ci_low,fisher_z_ci_high,mrna_fz_ci_low,mrna_fz_ci_high,classification,flag_underpowered,flag_note,reclass
HLMA_Vascular,JUNB,23,104,101,99,3,5,0.8606719367588934,0.8596837944664032,0.8567193675889329,0.9222415600672208,-0.0625577656008176,-0.0655221924782879,-0.0674984770632681,-0.0383235758774974,100,-0.0615696233083273,0.0,0.6930860316387281,0.9391023470745636,0.822843213325236,0.966883134084672,driver,False,,driver
HLMA_Vascular,JUN,23,163,163,163,0,0,0.7470355731225298,0.7470355731225298,0.7470355731225298,0.7915019762845852,-0.0444664031620554,-0.0444664031620554,-0.0736413043478262,-0.0167984189723321,100,-0.0444664031620554,0.0,0.4838141320615924,0.8863150360087719,0.5629755474674031,0.9075936904950986,inconclusive,False,,inconclusive
HLMA_Vascular,JUND,23,81,81,80,0,1,0.7994071146245059,0.7994071146245059,0.8102766798418973,0.8863636363636364,-0.0869565217391304,-0.076086956521739,-0.0928853754940711,-0.0419219367588932,100,-0.0716403162055336,0.0,0.5775018036929258,0.9113151390870868,0.7471357337634843,0.9510787211088833,driver,False,,driver
HLMA_Vascular,FOS,23,142,140,138,2,4,0.8320158102766799,0.8221343873517787,0.8112648221343874,0.8467802755163745,-0.0246458881645957,-0.035515453381987,-0.0301053743306036,-0.0019186154373229,100,-0.0147644652396945,0.0,0.6200624293471049,0.9219134022316888,0.6676004954711995,0.9332400012801624,driver,False,,driver
HLMA_Vascular,FOSB,23,66,64,62,2,4,0.882411067193676,0.8725296442687748,0.8685770750988143,0.8680222634714431,0.0045073807973317,0.0005548116273712,-0.0019402476611663,0.0173532305997031,100,0.0094480922597822,0.0,0.7188782126196176,0.9448929336507068,0.7097797570054131,0.9428662628838912,driver,False,,driver
HLMA_Vascular,FOSL1,23,35,34,34,1,1,0.7944664031620554,0.7835968379446642,0.7835968379446642,0.860806144506192,-0.0772093065615278,-0.0772093065615278,-0.1285927057710141,-0.0129800575496702,100,-0.0742448796840576,0.0,0.5485891259527158,0.9038539102418032,0.6953226319309832,0.9396100788571012,driver,False,,driver
HLMA_Vascular,FOSL2,23,84,82,82,2,2,0.9199604743083004,0.9041501976284586,0.9041501976284586,0.884387351778656,0.0197628458498025,0.0197628458498025,0.0078557312252965,0.0415019762845851,100,0.0355731225296443,0.0,0.7842217123800448,0.9589563592100224,0.7430678949156762,0.9501982025211592,driver,False,,driver
HLMA_Vascular,ATF3,23,57,57,57,0,0,0.8359683794466403,0.8359683794466403,0.8359683794466403,0.8791507890007073,-0.043182409554067,-0.043182409554067,-0.1762851763524859,-0.0134887336647388,100,-0.0673918957200748,0.0,0.6465645939772887,0.9282922124577448,0.7323395990368357,0.9478600001763352,driver,False,,driver
HLMA_Vascular,ATF6,23,105,105,105,0,0,-0.6877470355731226,-0.6877470355731226,-0.6877470355731226,0.2786561264822134,-0.966403162055336,-0.966403162055336,-0.9817934782608696,-0.9050395256916997,100,-0.9555335968379448,0.0005,-0.8569981106256959,-0.3845657094527678,-0.1508760776777423,0.6196801870339433,inconclusive,False,,inconclusive
HLMA_Vascular,CEBPB,23,33,33,33,0,0,0.7954545454545455,0.7954545454545455,0.7954545454545455,0.8927617497681609,-0.0973072043136153,-0.0973072043136153,-0.7276431726930622,-0.045405030400572,100,-0.1645008802029435,0.0,0.5702210691270049,0.9094566978142166,0.7603770701544903,0.9539221587922696,driver,False,,driver
HLMA_Vascular,CEBPD,23,84,83,83,1,1,0.7391304347826088,0.7371541501976284,0.7371541501976284,0.8349802371541503,-0.0978260869565218,-0.0978260869565218,-0.1083250988142292,-0.0948616600790513,100,-0.0958498023715415,0.0005,0.4667888084950897,0.88150520156218,0.6446562980353255,0.9278383780015892,inconclusive,False,,inconclusive
HLMA_Vascular,EGR1,23,76,74,72,2,4,0.8804347826086957,0.8616600790513835,0.8596837944664032,0.9056715414778226,-0.044011462426439,-0.0459877470114193,-0.0420351778414589,-0.0068326086714984,100,-0.0291893280390874,0.0,0.697026488170421,0.9399961518866377,0.7874340848134179,0.9596262549875264,inconclusive,False,,inconclusive
HLMA_Vascular,EGR2,23,31,31,31,0,0,0.8013833992094862,0.8013833992094862,0.8013833992094862,0.8517642677207087,-0.0503808685112224,-0.0503808685112224,-0.4046051768116178,0.0243967994729672,100,-0.0913887736495624,0.0,0.5811554561319924,0.9122426526987136,0.6773947781021524,0.93550980693467,driver,False,,driver
HLMA_Vascular,IRF1,23,118,117,117,1,1,0.3764822134387352,0.0770750988142292,0.0770750988142292,0.7608695652173914,-0.6837944664031621,-0.6837944664031621,-0.4762845849802372,-0.3339920948616601,100,-0.3843873517786561,0.719,-0.3461236056009276,0.4742113328165601,0.5079890597830788,0.8929986941161294,inconclusive,False,,bystander-like
HLMA_Vascular,KLF10,23,74,74,74,0,0,-0.2796442687747035,-0.2796442687747035,-0.2796442687747035,0.8547430830039526,-1.1343873517786562,-1.1343873517786562,-1.326457509881423,-0.5523468379446643,100,-1.1338932806324111,0.197,-0.6203398816751545,0.1498286527368441,0.6832782572253576,0.9368631238741248,inconclusive,False,,bystander-like
HLMA_Vascular,CDKN1A,23,0,0,0,0,0,,,,0.9237274487246868,,,,,0,,,,,0.8260566313356013,0.9675303748495316,UNDERPOWERED,True,"regulon_too_small(sasp=0,sen=0)",UNDERPOWERED
HLMA_Vascular,NFKB1,23,85,84,83,1,2,-0.5039525691699606,-0.5780632411067194,-0.5780632411067194,0.4219367588932806,-1.0,-1.0,-0.9770503952569172,-0.7922183794466406,100,-0.9258893280632412,0.003,-0.7997111124038142,-0.217745143846219,0.0117841140256655,0.7105566185719175,polarity-flip,False,,polarity-flip
HLMA_Vascular,RELA,23,64,64,63,0,1,0.3893280632411067,0.3893280632411067,0.3735177865612649,0.824110671936759,-0.4347826086956523,-0.4505928853754941,-0.9584239130434784,-0.2409584980237155,100,-0.4505928853754942,0.0615,-0.0272467173215141,0.6906874263354129,0.6238204273789768,0.9228279854785014,inconclusive,False,,inconclusive
HLMA_Vascular,RELB,23,66,64,63,2,3,0.7519762845849803,0.599802371541502,0.5909090909090909,0.2796442687747035,0.3201581027667984,0.3112648221343874,0.3488142292490119,0.5603754940711462,100,0.474802371541502,0.004,0.24921642503058,0.8113953010665567,-0.1498286527368441,0.6203398816751545,inconclusive,False,,inconclusive
HLMA_Vascular,STAT3,23,155,155,155,0,0,-0.4337944664031621,-0.4337944664031621,-0.4337944664031621,0.7114624505928854,-1.1452569169960474,-1.1452569169960474,-1.3090662055335969,-1.045405138339921,100,-1.1482213438735178,0.0365,-0.7176694364901967,-0.0262939356595329,0.4234413954718009,0.8688578412965257,polarity-flip,False,,polarity-flip
HLMA_MuSC,JUNB,23,134,133,132,1,2,0.880845018959242,0.8758797144555259,0.8738935926540394,0.933573088646306,-0.0576933741907801,-0.0596794959922666,-0.0646448004959827,-0.0447835824811182,100,-0.052728069687064,0.0,0.725674835805897,0.9463956539017396,0.8475107127283785,0.9718045885282666,driver,False,,driver
HLMA_MuSC,JUN,23,105,105,105,0,0,0.8550254355399183,0.8550254355399183,0.8550254355399183,0.8692614770459083,-0.01423604150599,-0.01423604150599,-0.0872508442331358,0.0210424469929129,100,-0.0231735896126792,0.0,0.683837091393665,0.9369912730317598,0.7122759426818115,0.943424007807358,driver,False,,driver
HLMA_MuSC,JUND,23,62,62,61,0,1,0.8321850348228239,0.8321850348228239,0.8311919739220807,0.8802395209580839,-0.0480544861352599,-0.0490475470360032,-0.0932635836415952,0.0180088902866832,100,-0.0520267297382328,0.0,0.6392710297254003,0.9265531054555012,0.7345641300252326,0.948346744897566,driver,False,,driver
HLMA_MuSC,FOS,23,166,166,165,0,1,0.9334772466986332,0.9334772466986332,0.9334772466986332,0.8489774689631456,0.0844997777354874,0.0844997777354874,0.0775483514302849,0.1019031700210125,100,0.0844997777354874,0.0,0.8473005046563563,0.9717631021352016,0.671910675771578,0.9342414968095192,driver,False,,driver
HLMA_MuSC,FOSB,23,100,99,98,1,2,0.8937548106689042,0.8937548106689042,0.8818380798599853,0.8812837457252672,0.0124710649436369,0.000554334134718,0.000554334134718,0.0164929615916468,100,0.0124710649436369,0.0,0.7624421919473675,0.9543625104764843,0.7367006686320274,0.9488132904889978,driver,False,,driver
HLMA_MuSC,FOSL1,23,21,21,21,0,0,-0.0059583654044593,-0.0059583654044593,-0.0059583654044593,0.5532846411374858,-0.5592430065419451,-0.5592430065419451,-1.0033398413543162,0.1008745374919741,100,-0.4490132465594469,0.978,-0.4171360342330213,0.4072440230421414,0.1827647265605217,0.7861853507055832,inconclusive,False,,bystander-like
HLMA_MuSC,FOSL2,23,51,51,51,0,0,0.1082436381810117,0.1082436381810117,0.1082436381810117,0.8942115768463073,-0.7859679386652956,-0.7859679386652956,-1.6357549779537932,-0.2474310121922438,100,-0.6985785793998915,0.6285,-0.3181540178129005,0.4982162697920823,0.7633929600179483,0.9545649652554078,inconclusive,False,,bystander-like
HLMA_MuSC,ATF3,23,56,56,56,0,0,0.90169929787485,0.90169929787485,0.90169929787485,0.8033932135728544,0.0983060843019955,0.0983060843019955,0.0620345349023491,0.1216678419919798,100,0.092347718897536,0.0,0.7790600353566268,0.9578758623465582,0.584880224569856,0.9131847382965314,driver,False,,driver
HLMA_MuSC,ATF6,23,86,86,85,0,1,-0.7924625987930949,-0.7924625987930949,-0.7924625987930949,0.570016957026612,-1.362479555819707,-1.362479555819707,-1.4310504110160267,-1.1163742380930168,100,-1.339142624652241,0.0,-0.9080468920410986,-0.5647332556050525,0.2062836463460169,0.7953434601360468,driver,False,,polarity-flip
HLMA_MuSC,CEBPB,23,34,34,34,0,0,0.7080524222299206,0.7080524222299206,0.7080524222299206,0.8508415475296602,-0.1427891252997396,-0.1427891252997396,-0.5324662227513818,0.0384693156084177,100,-0.1353411685441654,0.0,0.4177854082846725,0.8671635848229479,0.6755768210556894,0.9350901032810784,inconclusive,False,,inconclusive
HLMA_MuSC,CEBPD,23,71,71,71,0,0,0.8212613649146485,0.8212613649146485,0.8212613649146485,0.8556522269174972,-0.0343908620028486,-0.0343908620028486,-0.1283592497356766,0.0084597158642214,100,-0.0587208540710577,0.0,0.6184052837505736,0.9215090311692938,0.6850783596047192,0.937275671166284,driver,False,,driver
