dataset,compartment,note,tf,n_donors,detected_sasp_genes,rho,p_value,ci_95_low,ci_95_high,rank_in_dataset
NA,Endothelium,,KLF2,12,12,-0.266,0.40383308831471165,-0.729,0.364,14
NA,Endothelium,,KLF4,12,12,0.308,0.3305892594121097,-0.323,0.749,13
NA,Endothelium,,KLF6,12,12,-0.14,0.6646331617926677,-0.661,0.472,18
NA,Endothelium,,KLF10,12,12,0.531,0.07536233505348364,-0.061,0.847,9
NA,Endothelium,,ATF3,12,12,0.566,0.054842119775407844,-0.011,0.861,5
NA,Endothelium,,EGR1,12,12,0.643,0.024003191200713644,0.11,0.889,4
NA,Endothelium,,EGR2,12,12,0.51,0.08991373630263913,-0.09,0.839,10
NA,Endothelium,,IRF1,12,12,0.643,0.024003191200713644,0.11,0.889,3
NA,Endothelium,,CEBPB,12,12,-0.14,0.6646331617926677,-0.661,0.472,19
NA,Endothelium,,CEBPD,12,12,0.189,0.5567370561768314,-0.432,0.688,16
NA,Endothelium,,RELA,12,12,0.084,0.7954145018538977,-0.515,0.628,20
NA,Endothelium,,NFKB1,12,12,0.147,0.6487957097846664,-0.466,0.665,17
NA,Endothelium,,STAT3,12,12,0.49,0.106252371759346,-0.117,0.83,11
NA,Endothelium,,CDKN1A,12,12,0.538,0.07089431754922315,-0.051,0.85,8
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),JUNB,12,12,0.573,0.05126558978649144,-0.001,0.863,4
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),JUN,12,12,0.455,0.13765791634772945,-0.161,0.816,7
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),JUND,12,12,-0.084,0.7954145018538977,-0.628,0.515,20
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),FOS,12,12,0.455,0.13765791634772945,-0.161,0.816,8
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),FOSB,12,12,0.552,0.06251148327961512,-0.031,0.855,5
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),FOSL1,12,12,0.014,0.9655902689187795,-0.564,0.583,21
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),FOSL2,12,12,-0.168,0.602099427786538,-0.677,0.449,16
NA,FAP,SAME DATA as HLMA FAP (same 12 donors),KLF2,12,12,0.091,0.7787253962454419,-0.51,0.632,19
