ligand,receptor,pathway,function,ligand_mean_vasc,ligand_std_vasc,receptor_mean_fap,receptor_std_fap,interaction_score,rho_age,p_age,n_age,rho_junb,p_junb,n_junb,rho_sasp,p_sasp,n_sasp,fdr_age
ANGPT1,TIE1,ANGPT,TIE1 trans-activation,0.10663346946239471,0.05615909397602081,-0.04308510199189186,0.04650023952126503,-0.004594313912093639,-0.033168381861414326,0.8805752359049059,23,0.3660239059557874,0.08585354922333588,23,0.5207509881422925,0.01084303263686013,23,0.9180465225391573
TGFB1,TGFBR1,TGF-beta,"fibrosis, SMAD",0.08092379570007324,0.032819394022226334,-0.2309523969888687,0.15726913511753082,-0.01868954487144947,-0.03465353328804482,0.8752675614948702,23,-0.19167963681311193,0.38094082286752673,23,-0.3112648221343874,0.1482533703130439,23,0.9180465225391573
JAG2,NOTCH1,Notch,EC arterial spec,0.15144987404346466,0.07481912523508072,-0.06382719427347183,0.05713315308094025,-0.009666620753705502,-0.03465353328804482,0.8752675614948702,23,0.5864307234799083,0.003271451989722213,23,0.7233201581027668,9.617521754027485e-05,23,0.9180465225391573
TGFB1,TGFBR2,TGF-beta,"fibrosis, SMAD",0.08092379570007324,0.032819394022226334,-0.30516231060028076,0.6390344500541687,-0.024694891646504402,-0.03465353328804482,0.8752675614948702,23,-0.19167963681311193,0.38094082286752673,23,-0.3112648221343874,0.1482533703130439,23,0.9180465225391573
JAG2,NOTCH2,Notch,mesenchymal Notch,0.15144987404346466,0.07481912523508072,-0.507834792137146,0.1780577450990677,-0.07691151648759842,-0.03465353328804482,0.8752675614948702,23,0.5864307234799083,0.003271451989722213,23,0.7233201581027668,9.617521754027485e-05,23,0.9180465225391573
TGFB3,TGFBR1,TGF-beta,wound healing,0.020312925800681114,0.0163434986025095,-0.2309523969888687,0.15726913511753082,-0.004691319074481726,-0.08225970343210591,0.7090464816243907,23,0.6028762246105208,0.0023278202977681504,23,0.7546986876792827,3.166154091810516e-05,23,0.8997449994169325
TGFB3,TGFBR2,TGF-beta,wound healing,0.020312925800681114,0.0163434986025095,-0.30516231060028076,0.6390344500541687,-0.006198739167302847,-0.08225970343210591,0.7090464816243907,23,0.6028762246105208,0.0023278202977681504,23,0.7546986876792827,3.166154091810516e-05,23,0.8997449994169325
PDGFA,PDGFRA,PDGF,fibroblast proliferation,0.0470256507396698,0.03436757251620293,0.6671016216278076,0.3006100058555603,0.03137088939547539,-0.13617252438816566,0.5355617913830439,23,0.6423102412172844,0.0009509703513002974,23,0.8346923901964007,7.340603888840489e-07,23,0.7902464439205128
PDGFA,PDGFRB,PDGF,fibroblast/pericyte,0.0470256507396698,0.03436757251620293,-0.3715958893299103,0.6160265207290649,-0.01747453771531582,-0.13617252438816566,0.5355617913830439,23,0.6423102412172844,0.0009509703513002974,23,0.8346923901964007,7.340603888840489e-07,23,0.7902464439205128
CXCL12,CXCR4,CXCL12,stem cell homing,0.2555548846721649,0.20068953931331635,-0.04237629845738411,0.058327753096818924,-0.010829470120370388,-0.19009938260870296,0.3849537519662314,23,0.5349199166877543,0.008539654241954632,23,0.7312252964426879,7.373818328580307e-05,23,0.6736690659409049
CXCL12,ACKR3,CXCL12,decoy receptor,0.2555548846721649,0.20068953931331635,-0.5057156682014465,0.6886895895004272,-0.12923811376094818,-0.19009938260870296,0.3849537519662314,23,0.5349199166877543,0.008539654241954632,23,0.7312252964426879,7.373818328580307e-05,23,0.6736690659409049
EFNB2,EPHA2,Ephrin,tip cell guidance,0.19003689289093018,0.11051077395677567,-0.06258213520050049,0.04114855080842972,-0.011892914772033691,-0.19851524069294246,0.36385854257878525,23,0.7875209884569716,8.202019804839794e-06,23,0.8596837944664032,1.4744062348221698e-07,23,0.6736690659409049
EFNB2,EPHA4,Ephrin,tip cell guidance,0.19003689289093018,0.11051077395677567,-0.14824439585208893,0.04707939922809601,-0.028171904385089874,-0.19851524069294246,0.36385854257878525,23,0.7875209884569716,8.202019804839794e-06,23,0.8596837944664032,1.4744062348221698e-07,23,0.6736690659409049
