gene,d,log2fc,p_raw,is_surface,mean_junb_plus,mean_junb_minus,p_bh
FAM86C2P,0.2365,0.0088,0.498146,False,-0.0194,-0.0282,0.583602
FAM86DP,0.1905,0.0196,0.583269,False,0.0036,-0.016,0.660744
FAM86EP,-0.1287,-0.0088,0.709553,False,-0.0203,-0.0115,0.770579
FAM86FP,-0.6914,-0.0355,0.071752,False,-0.0517,-0.0163,0.122211
FAM86GP,-1.2199,-0.0108,0.006404,False,-0.0231,-0.0122,0.018473
FAM86HP,-0.4498,-0.0473,0.214144,False,-0.0397,0.0076,0.295713
FAM86JP,0.6447,0.0202,0.089148,False,-0.0094,-0.0296,0.145614
FAM86KP,-0.9273,-0.0026,0.023854,False,-0.0084,-0.0058,0.050615
FAM86LP,-2.5807,-0.0263,5.5e-05,False,-0.0404,-0.0141,0.00173
FAM86MP,-2.5761,-0.0293,5.6e-05,False,-0.0411,-0.0118,0.001741
FAM87A,0.9375,0.0272,0.02275,False,-0.0078,-0.035,0.048781
FAM87B,1.9384,0.0351,0.000398,False,-0.0147,-0.0498,0.003015
FAM89A,0.6194,0.0299,0.100206,False,-0.0047,-0.0346,0.160097
FAM89B,0.2629,0.0186,0.453081,False,-0.0199,-0.0385,0.540819
FAM8A1,1.8308,0.1412,0.000579,False,0.0039,-0.1373,0.003657
FAM90A1,-1.4278,-0.0201,0.002675,False,-0.0392,-0.0191,0.009883
FAM90A11P,-1.0271,-0.0237,0.015085,False,-0.0436,-0.0199,0.035407
FAM90A12P,1.8057,0.0117,0.000633,False,0.0036,-0.0082,0.003855
FAM90A27P,-1.9385,-0.0142,0.000398,False,-0.0222,-0.008,0.003015
FAM91A1,0.6847,0.059,0.074044,False,0.0355,-0.0235,0.125331
FAM91A2P,-0.1558,-0.0093,0.65261,False,-0.0272,-0.0179,0.721519
FAM91A3P,-1.1452,-0.0167,0.008883,False,-0.0328,-0.0161,0.023614
FAM92A,-0.0538,-0.0042,0.875677,False,-0.0428,-0.0386,0.904479
FAM92A1P1,0.4126,0.0293,0.250908,False,-0.0016,-0.0308,0.336378
FAM92A1P2,-0.0442,-0.0003,0.897751,False,-0.0087,-0.0083,0.921919
FAM92B,-2.3399,-0.0301,0.00011,False,-0.0422,-0.0121,0.001915
FAM95B1,4.1807,0.009,2e-06,False,-0.0014,-0.0104,0.000578
FAM95C,-1.9046,-0.0203,0.000447,False,-0.0328,-0.0125,0.003198
FAM98A,1.8673,0.1555,0.000509,False,0.0408,-0.1147,0.003424
FAM98B,0.5238,0.0485,0.154758,False,0.0081,-0.0404,0.227491
FAM98C,-0.0762,-0.0053,0.824886,False,-0.022,-0.0166,0.864381
FAM9B,-1.7644,-0.106,0.000734,False,-0.1192,-0.0132,0.004214
FAM9C,-1.35,-0.0101,0.003684,False,-0.0225,-0.0124,0.012397
FAN1,0.1699,0.0132,0.623923,False,0.0275,0.0143,0.696535
FANCA,-1.1358,-0.137,0.009257,False,-0.0755,0.0615,0.024356
FANCB,-0.8758,-0.0272,0.030303,False,-0.0138,0.0134,0.06133
FANCC,-1.1783,-0.2084,0.007676,False,-0.056,0.1525,0.021159
FANCD2,-0.6613,-0.0651,0.082549,False,-0.0294,0.0357,0.1367
FANCD2OS,-1.0655,-0.0394,0.012681,False,-0.057,-0.0176,0.030977
FANCD2P2,-1.5327,-0.0269,0.00176,False,-0.0399,-0.013,0.007389
FANCE,-0.2213,-0.0108,0.52538,False,-0.0189,-0.0081,0.608891
FANCF,0.5369,0.0316,0.145909,False,-0.0004,-0.032,0.216889
FANCG,0.5757,0.0445,0.122398,False,0.0218,-0.0227,0.188149
FANCI,-0.5109,-0.0467,0.16386,False,-0.0006,0.0461,0.238229
FANCL,0.0923,0.0125,0.78881,False,0.0978,0.0853,0.835625
FANCM,-0.9598,-0.0974,0.020534,False,-0.0707,0.0266,0.045063
FANK1,-0.7716,-0.0996,0.04931,False,-0.0301,0.0696,0.090422
FAP,0.209,0.0185,0.548089,False,-0.1448,-0.1633,0.629369
FAR1,-0.4708,-0.0677,0.195516,False,0.0716,0.1393,0.275181
FAR1-IT1,-0.8073,-0.0217,0.041725,False,-0.0297,-0.008,0.079203
FAR2,-0.5381,-0.0659,0.145105,False,-0.0234,0.0425,0.215982
FAR2P1,-1.8944,-0.0441,0.000463,False,-0.0604,-0.0163,0.003252
FAR2P2,-0.3345,-0.0165,0.345039,False,0.0016,0.018,0.43467
FAR2P3,-0.7679,-0.0108,0.050177,False,-0.0292,-0.0184,0.091731
FAR2P4,-0.7782,-0.0068,0.047814,False,-0.0151,-0.0083,0.088223
FARP1,-0.4392,-0.0629,0.224103,False,-0.0144,0.0485,0.30689
FARP1-AS1,0.4273,0.0117,0.235735,False,-0.0135,-0.0252,0.319615
FARP2,-0.7558,-0.1013,0.053104,False,-0.035,0.0663,0.095997
FARS2,-2.1671,-0.2962,0.000188,False,-0.0674,0.2288,0.002241
FARSA,1.2117,0.1031,0.006636,False,0.023,-0.0801,0.01895
FARSA-AS1,-2.4966,-0.015,7e-05,False,-0.0273,-0.0122,0.001771
FARSB,0.4399,0.0234,0.223487,False,0.0403,0.0169,0.306215
FAS,1.3087,0.0899,0.004381,False,0.0426,-0.0473,0.014016
FASLG,-0.4836,-0.0017,0.1849,False,-0.0112,-0.0095,0.262722
FASN,0.8896,0.0515,0.028421,False,0.0524,0.0009,0.058206
FASTK,0.9111,0.0805,0.025717,False,0.0109,-0.0696,0.053795
FASTKD1,-0.6578,-0.1763,0.083916,False,-0.0375,0.1388,0.138558
FASTKD2,0.3765,0.0235,0.291394,False,0.0182,-0.0053,0.379679
FASTKD3,0.227,0.0265,0.515064,False,0.0194,-0.0071,0.599285
FASTKD5,0.2463,0.0164,0.481055,False,0.0394,0.0231,0.567727
FAT1,-0.0206,-0.0032,0.952149,False,-0.0065,-0.0033,0.963428
FAT2,-1.0556,-0.0469,0.013257,False,-0.0696,-0.0227,0.032049
FAT3,-1.1633,-0.1124,0.008198,False,-0.1099,0.0025,0.022235
FAT4,-0.5122,-0.0401,0.162941,False,-0.0075,0.0326,0.237121
FATE1,0.2677,0.0065,0.44519,False,-0.0153,-0.0218,0.533217
FAU,1.5538,0.3128,0.00162,False,0.0074,-0.3054,0.00699
FAUP1,0.2813,0.0964,0.423294,False,-0.0022,-0.0986,0.512129
FAXC,-1.2875,-0.0555,0.004791,False,-0.0595,-0.004,0.014967
FAXDC2,-0.0201,-0.0028,0.953366,False,-0.0427,-0.0399,0.964247
FBF1,-1.9015,-0.1092,0.000452,False,-0.0446,0.0647,0.003211
FBH1,-0.1507,-0.0219,0.663137,False,-0.004,0.0179,0.730596
FBL,2.8756,0.1648,2.5e-05,False,0.022,-0.1428,0.001543
FBLIM1,0.4541,0.0371,0.210178,False,0.0346,-0.0026,0.291385
FBLL1,1.4195,0.0175,0.002767,False,-0.0138,-0.0312,0.010114
FBLN1,1.4494,0.1853,0.002451,False,0.1172,-0.0682,0.009325
FBLN2,0.6328,0.1375,0.094193,False,0.0151,-0.1225,0.152225
FBLN5,1.2947,0.1893,0.004647,False,0.0267,-0.1626,0.014639
FBLN7,0.0449,0.0044,0.896087,False,-0.0651,-0.0695,0.920685
FBN1,0.6287,0.0995,0.095995,False,0.1919,0.0924,0.154544
FBN2,-2.1574,-0.1596,0.000194,False,-0.1478,0.0118,0.002249
FBN3,-1.3633,-0.08,0.003486,False,-0.0907,-0.0107,0.011942
FBP1,0.2309,0.0094,0.508054,False,-0.0126,-0.0221,0.592842
FBP2,-1.545,-0.1589,0.001677,False,-0.2353,-0.0765,0.007155
FBP2P1,-2.4247,-0.0227,8.6e-05,False,-0.0307,-0.008,0.001831
FBRS,0.0857,0.0113,0.803636,False,-0.0169,-0.0282,0.847771
FBRSL1,-0.1261,-0.012,0.714959,False,0.0255,0.0375,0.775164
FBXL12,-0.0269,-0.0028,0.937564,False,0.0019,0.0047,0.952005
FBXL13,-1.3041,-0.1399,0.004466,False,-0.0824,0.0574,0.014223
FBXL14,-0.3875,-0.0463,0.278588,False,-0.0175,0.0288,0.36631
FBXL15,0.8975,0.055,0.027396,False,-0.0243,-0.0793,0.056452
