a	b	c	d	OR_raw	OR_raw_is_inf	OR_HA	OR_HA_CI_low	OR_HA_CI_high	fisher_p_one_sided_greater	n_list_in_bg	k_list_pli_high	emp_p_20000	permutation_basis_OR	null_or_median	null_or_p99	list
9	0	3056	14256		True	88.62211680026174	5.156708414290704	1523.0412416559948	1.6846694747310002e-07	9	9	4.999750012499375e-05	OR_HA	2.5055824175824175	8.651997291807719	SCHEMA
85	16	2980	14240	25.385906040268456	False	24.758155282060667	14.59476756471672	41.99904179717754	3.535290060116317e-48	101	85	4.999750012499375e-05	OR_raw	1.8106088855295204	2.9641248967454157	ASD_FDR10
213	34	2852	14222	31.24005857602508	False	30.855250288965948	21.4865724018798	44.30890383947145	1.785997055744389e-124	247	213	4.999750012499375e-05	OR_raw	1.6131159896111866	2.2257145284343345	DDD_Kaplanis
23	1	3042	14255	107.77942143326759	False	73.40547795124624	14.08270003068112	382.62294741147605	9.358142286171925e-17	24	23	4.999750012499375e-05	OR_raw	1.6351417604890395	3.9722873962520384	Heyne_DEE
