list	n	median	mean	q25	q75	iqr	retention
SCHEMA	9	1.4026929471856988	1.2498456080659406	1.0372373572890796	1.5089927053743395	0.4717553480852599	0.9
ASD_FDR10	101	1.3579605801506605	1.4023552288306647	0.9188143298822451	1.8702928212695016	0.9514784913872565	0.9901960784313726
DDD_Kaplanis	248	1.3812569869005704	1.421380662621815	0.8946091164457831	1.9077291123545221	1.0131199959087391	0.8701754385964913
Heyne_DEE	24	1.665867005334774	1.646491131190807	1.2094616127139364	2.254890150832272	1.0454285381183357	0.7272727272727273
