list	n	median	mean	q25	q50	q75	q90	q95	iqr	k_shet_ge_0p1	OR_HA_shet_ge_0p1	fisher_p_shet_ge_0p1	s_het_mapping_retention
SCHEMA	10	0.176097675	0.217652073	0.13822609749999998	0.176097675	0.2702519975	0.374223561	0.4069845104999999	0.13202590000000003	9	30.06346501420088	1.2461090494728165e-06	1.0
ASD_FDR10	102	0.2424458	0.28080704137254897	0.1447169275	0.2424458	0.41094436	0.540055955	0.5883269254999998	0.2662274325	84	22.17280579548621	1.2826471260305068e-46	1.0
DDD_Kaplanis	282	0.29829705500000003	0.3235902771985816	0.169689635	0.29829705500000003	0.48101644	0.590553222	0.6512077445	0.311326805	238	27.30716481836424	5.05318424300827e-136	0.9894736842105263
Heyne_DEE	31	0.35865057	0.38535084387096774	0.255039835	0.35865057	0.53090863	0.6256921	0.660185115	0.275868795	29	56.35856586126267	2.929570091369335e-20	0.9393939393939394
