compartment,tf,n_donors,rho_raw,p_raw,rho_partial_age,p_partial_age,tf_coef_linear,age_coef_linear,r2_total,delta_rho
Vascular,JUNB,23,0.9266992260396187,2.1870209044049935e-10,0.9189723320158102,6.050839398792519e-10,0.12426304391032902,-5.27702755468288e-06,0.8195327259513852,-0.00772689402380855
Vascular,CDKN1A,23,0.9301662995737059,1.3354617813127565e-10,0.8913043478260869,1.167055298446974e-08,0.16373911271838446,0.0001740882359271515,0.8610256660650288,-0.03886195174761897
MuSC,JUNB,23,0.9178799970522424,6.930239661526206e-10,0.8102766798418973,2.781032467529951e-06,0.07535704436007619,-0.000640847498636518,0.7416990019762385,-0.1076033172103451
MuSC,CDKN1A,23,0.9105689856231566,1.6419820821220166e-09,0.9300716864118568,1.3540097467274447e-10,0.1061829558339624,-0.0002703308722148171,0.8967759872325844,0.0195027007887002
FAP,JUNB,22,0.08300395256916997,0.7134458318122271,0.11462450592885377,0.6115002138101081,0.00041214417243871693,0.0003215953807683481,0.011600876255980053,0.031620553359683806
FAP,CEBPB,22,0.8226990400903446,2.6062512706429226e-06,0.8498023715415021,5.587908577536154e-07,0.35088121567478586,-0.0003195551253007579,0.7189313690372531,0.02710333145115751
FAP,KLF10,22,0.9040090344438172,8.026046409607056e-09,0.9141727837380011,2.7366961267781185e-09,0.3907946798513321,-0.00017730242119834395,0.8000529702731104,0.010163749294183955
