dataset,tf,n,rho_raw,p_raw,ci_95_raw,rho_age_adj,p_age_adj,age_rho_tf,age_rho_sasp,rho_country_adj,p_country_adj,country_rho_tf,country_rho_sasp,within_China_rho,within_China_p,within_China_n,within_Spain_rho,within_Spain_p,within_Spain_n,rho_full_adj,p_full_adj
HLMA_Vascular,JUNB,23,0.92125096762891,4.530886488666682e-10,"[0.821, 0.966]",0.9436758893280633,1.4838379845626962e-11,0.04193548903515096,0.18564392832881152,0.8625127859191803,1.2061487375698288e-07,0.6260613063084415,0.5640760748177663,0.9472527472527472,2.7738827125448025e-07,14,0.5254992153061281,0.1462402583123162,9,0.8616600790513835,1.2820052784329563e-07
HLMA_Vascular,CDKN1A,23,0.9086507241800525,2.0341782979439135e-09,"[0.794, 0.961]",0.9130434782608695,1.236680969659918e-09,0.009950293088209345,0.18564392832881152,0.8917686888674176,1.1181139907092195e-08,0.7153534142222915,0.5640760748177663,0.9076923076923077,7.3017039968523426e-06,14,0.7302967433402215,0.025463561683239225,9,0.8418972332015809,4.754320728782286e-07
HLMA_Vascular,ATF3,23,0.8692448646176008,7.343578620384384e-08,"[0.712, 0.943]",0.9120553359683794,1.3862822602287868e-09,-0.09379653760524889,0.18564392832881152,0.7855398035803502,8.95657643211655e-06,0.7270389363581901,0.5640760748177663,0.8593406593406594,8.200994666805756e-05,14,0.7572378034072855,0.018132763214887587,9,0.7875494071146245,8.191617484545099e-06
HLMA_Vascular,EGR1,23,0.9095785772909849,1.8350682863979752e-09,"[0.796, 0.961]",0.9288537549407114,1.6143421649494893e-10,-0.007740500494512225,0.18564392832881152,0.8510531919369453,2.651525401135417e-07,0.6841756757962516,0.5640760748177663,0.9516483516483516,1.661613698567939e-07,14,0.6207522318391883,0.07443796489097941,9,0.8231225296442688,1.414903039596008e-06
HLMA_Vascular,KLF10,23,0.8359683794466403,6.807376150160236e-07,"[0.647, 0.928]",0.8458498023715416,3.712004142058739e-07,0.008910908559782953,0.18564392832881152,0.7598814229249011,2.5943354292582745e-05,0.7118102848890859,0.5640760748177663,0.8769230769230769,3.829698105449934e-05,14,0.26666666666666666,0.4879222748387009,9,0.7104743083003953,0.00014539755630507575
HLMA_MuSC,JUNB,23,0.9335730886463062,8.019906330773877e-11,"[0.848, 0.972]",0.9318181818181819,1.046342591866426e-10,-0.005020444715748749,-0.17263758508043214,0.8945718016598382,8.597203255539068e-09,0.7354867548437041,0.8098340538365564,0.8153846153846154,0.00037913223820058216,14,0.9219544457292888,0.0004048866515922031,9,0.8636363636363636,1.1123161784623159e-07
HLMA_MuSC,CDKN1A,23,0.9286561776286423,1.6605727716360202e-10,"[0.837, 0.970]",0.9147516958280271,1.0118707278484469e-09,-0.014291548761875736,-0.17263758508043214,0.8819320136189042,2.665053924989077e-08,0.6646628549003425,0.8098340538365564,0.9196925257223656,3.251550176667455e-06,14,0.7,0.03576957497026169,9,0.8952569169960475,8.053373554312945e-09
HLMA_MuSC,ATF3,23,0.8033932135728544,3.913868931237102e-06,"[0.585, 0.913]",0.8073122529644269,3.2272496291614416e-06,0.10597062138942953,-0.17263758508043214,0.673471473542393,0.00042755921684712597,0.6073755403774173,0.8098340538365564,0.8681318681318682,5.6798189086915105e-05,14,-0.03813850356982369,0.9223989927976874,9,0.6185770750988142,0.0016530408522373197
HLMA_MuSC,EGR1,23,0.9171114047251757,7.616038366590345e-10,"[0.812, 0.965]",0.9209486166007905,4.710516603350585e-10,-0.07790439207380045,-0.17263758508043214,0.7823746664012694,1.0289443654097576e-05,0.8264300242291355,0.8098340538365564,0.6703296703296703,0.008704233809858863,14,0.9002613999474233,0.0009347087029521848,9,0.7835968379446642,9.755382216431923e-06
HLMA_MuSC,KLF10,23,0.9015841226134989,4.308246573974352e-09,"[0.779, 0.958]",0.9011857707509882,4.48681122881196e-09,-0.06517002029250614,-0.17263758508043214,0.848303393213573,3.172367015536132e-07,0.6570796094280831,0.8098340538365564,0.8945054945054945,1.579830848680049e-05,14,0.64,0.06338231025019961,9,0.7796442687747036,1.1576641798913716e-05
HLMA_FAP,JUNB,22,-0.014116318464144554,0.9502846499817856,"[-0.433, 0.410]",-0.012987012987012988,0.9542576793321902,0.08375799615757147,0.09224698225462263,0.3540372670807454,0.10598458388155398,0.7595882226364867,-0.35745328124069964,0.3934065934065934,0.16403157340077784,14,0.2142857142857143,0.6103444156452669,8,0.4014680971202711,0.06403627274942915
HLMA_FAP,CDKN1A,22,0.48277809147374373,0.02285806342926678,"[0.077, 0.751]",0.4477696216826652,0.03664259102857075,0.13469191273987846,0.09224698225462263,0.6126482213438735,0.0024363201962101905,0.23830218749379972,-0.35745328124069964,0.5736263736263736,0.03197081397639698,14,0.7857142857142858,0.020815127253525276,8,0.6307171089779786,0.001649400641367348
HLMA_FAP,ATF3,22,0.3077357425183513,0.16354807675328853,"[-0.131, 0.646]",0.3156408808582722,0.15244364055052634,-0.08941732022227225,0.09224698225462263,0.5335968379446642,0.010541342209162448,0.4021349413957871,-0.35745328124069964,0.6527472527472528,0.01138457399795419,14,0.4285714285714286,0.2894032248467901,8,0.575381140598532,0.005083271028223233
HLMA_FAP,EGR1,22,-0.0536420101637493,0.8125892965812408,"[-0.465, 0.376]",-0.050254093732354614,0.8242411656048835,0.026032890697623566,0.09224698225462263,0.27724449463579903,0.2116105135266433,0.7446943359181243,-0.35745328124069964,0.3274725274725274,0.2530710007719406,14,0.11904761904761905,0.7788857260523797,8,0.2252964426877471,0.3134123757420365
HLMA_FAP,KLF10,22,0.7843026538678713,1.5595794807885233e-05,"[0.542, 0.906]",0.7910784867306607,1.1684357640464507e-05,0.14431276364986978,0.09224698225462263,0.7865612648221344,1.418080756174458e-05,-0.07446943359181242,-0.35745328124069964,0.8505494505494505,0.0001156561589098896,14,0.6190476190476191,0.1017330374542646,8,0.821569734613213,2.76326337170917e-06
