disorder	enrichment	enr_ci_lo	enr_ci_hi	enr_p	tau_star	tau_star_se	tau_star_z	tau_star_p_onesided	holm_p_across_6	coverage_flag	post_merge_snps
SCZ	1.8294215160848022	1.2065004987245227	2.4523425334450817	0.00892664313223123	7.736746666128541e-08	4.474897584557675e-08	1.7289215048914435	0.04191157232817757	0.22233902028242192	False	1168512
MDD	1.659576813886465	0.8930595036056758	2.4260941241672542	0.0951237054302125	5.071971331766719e-09	4.465737870945702e-09	1.1357521373489474	0.1280301567381621	0.3840904702144863	False	1119500
BIP	6.984109127597284	-2.568120714718262	16.53633896991283	0.07893690240036973	3.617765855115245e-08	2.025721081907835e-08	1.7859150933592565	0.03705650338040365	0.22233902028242192	True	238028
ASD	2.2361605734621044	0.8422379014564674	3.630083245467741	0.08014081223352308	3.3120061183330154e-08	2.117905080530039e-08	1.5638123487121216	0.05893082171073584	0.23572328684294336	False	1137076
ADHD	0.8754193262843337	-0.19891148768718447	1.949750140255852	0.8204754115085314	-2.0800412640951853e-08	1.8559106902296465e-08	-1.120765818660059	0.8688062213119847	1.0	False	1133723
AD_full	-0.1863680568758284	-5.921620450775742	5.548884337024085	0.6884973054356642	-9.396429306530245e-09	9.189073489096981e-09	-1.0225654760166294	0.8467433300217324	None	False	1183831
AD_noAPOE	0.33538507218956654	-1.1630081231426905	1.8337782675218237	0.37922067283922734	-2.3371860894418942e-09	1.9000452127805613e-09	-1.2300686708510546	0.8906643046468163	1.0	False	1183012
