gene_set,stratum,n,rho,p_spearman,ci95_low,ci95_high,beta_age,se_age,p_age
HALLMARK_HYPOXIA,pooled,29,-0.17053982469964457,0.376430447427069,-0.5054527762052686,0.20903109375604972,,,
HALLMARK_HYPOXIA,within_scRNA,7,0.9549937104572924,0.0008055353363017622,0.7190561937586393,0.9935352724552459,,,
HALLMARK_HYPOXIA,within_snRNA,22,-0.10639529241637459,0.6374623863416455,-0.505335812910373,0.3300167674089402,,,
HALLMARK_HYPOXIA,pooled_OLS_age_plus_tech,29,,,,,0.00018173380647632962,0.001322198503271686,0.8917354279014351
HIF_DIRECT_PROXY,pooled,29,-0.15595743389199382,0.419162723597054,-0.49421418241763976,0.22331263447180993,,,
HIF_DIRECT_PROXY,within_scRNA,7,0.900937462695559,0.005620586715345014,0.45990717843938916,0.9854254998160028,,,
HIF_DIRECT_PROXY,within_snRNA,22,-0.09734037391285334,0.6665105394047619,-0.4984909879861884,0.33814539913452674,,,
HIF_DIRECT_PROXY,pooled_OLS_age_plus_tech,29,,,,,0.0004715833294702777,0.0008244912199721031,0.5722555956929122
