compartment,beta_age,ci_low,ci_high,p_value,n,r2,ordinal_method,ordinal_beta_or_rho,ordinal_p,ordinal_note,bootstrap_beta_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_cv
Vascular,0.00013646132397515892,6.384766711851478e-05,0.00020907498083180305,0.00023021653891571207,796,0.0747095900695327,ordered_logit,0.01595796241030782,0.9907127781977122,proportional_odds,0.00013462463782358785,4.829411495836099e-05,0.0002088359803537884,0.2971907873307151
MuSC,-0.0005369726277251168,-0.0008636154253766495,-0.00021032983007358418,0.0012729380738586494,796,0.14581561912259067,ordered_logit,0.0009511328445198212,0.9993206833364983,proportional_odds,-0.0005392015958575689,-0.0006388680301362743,-0.00046456617689016264,0.08230237789440517
FAP,0.0001021506156066126,2.5932282739381328e-05,0.00017836894847384388,0.008618795385392777,796,0.1395310514860162,ordered_logit,-0.0007868206631179264,0.9997448110793927,proportional_odds,9.945126107220924e-05,7.637966512457524e-05,0.0001243369323371273,0.12560955998215256
Immune,0.000298360688143282,0.00012054968923734828,0.00047617168704921576,0.0010063280330991702,796,0.3199178924223337,ordered_logit,-0.0011347273938053586,0.9994865735096741,proportional_odds,0.0003051256969617092,0.00019356119914841556,0.00048799382968271087,0.23923818283642473
