compartment,direction,rank,gene_symbol,log2FC,wald_stat,p_value,ensg_versioned
FAP,UP,7,AP000640.2,16.7474532671843,10.283608145771224,8.354031772166261e-25,ENSG00000255355.1
FAP,UP,8,AC004865.2,16.605118122907815,10.272511767000031,9.373191054629588e-25,
FAP,UP,9,RASA2-IT1,15.833666170106309,9.454049970339833,3.2596850691387018e-21,ENSG00000250170.1
FAP,UP,10,TTC16,16.950829196345587,9.06138870541039,1.2880013957445738e-19,ENSG00000167094.15
FAP,UP,11,RASGRP4,16.576958930791076,9.019916942703098,1.8823195880647852e-19,ENSG00000171777.16
FAP,UP,12,IL12A,16.251703503806805,8.59631886187076,8.231388771527054e-18,ENSG00000168811.6
FAP,UP,13,RPS18P12,14.71349607973973,8.311580182583295,9.443600435698056e-17,ENSG00000230897.1
FAP,UP,14,MARCKSL1P2,14.572065753264344,8.275457412333779,1.2796342892278076e-16,ENSG00000215878.3
FAP,UP,15,C16orf89,9.841452974496429,8.203718419171059,2.3306363160862447e-16,ENSG00000153446.15
FAP,UP,16,AL359715.3,17.287537773069502,8.200798337966063,2.387958279383583e-16,
FAP,UP,17,AC136604.3,16.8339865046132,8.154488084608413,3.5066198444994366e-16,
FAP,UP,18,AC078909.1,17.76535764273393,7.991673755547127,1.3311892896804565e-15,
FAP,UP,19,KLHL10,16.577318207794004,7.953307261722268,1.8159720645176418e-15,ENSG00000161594.6
FAP,UP,20,AC020910.2,17.055302463223587,7.949614730970584,1.8709244157631263e-15,
FAP,UP,21,CP,11.826390298541464,7.898486119431222,2.8231121126942348e-15,ENSG00000047457.14
FAP,UP,22,F12,17.446573386424415,7.884661732999015,3.153886849881161e-15,ENSG00000131187.9
FAP,UP,23,VNN1,17.363235465613833,7.882013112913617,3.2214820674977037e-15,ENSG00000112299.7
FAP,UP,24,POLH-AS1,16.739030899782847,7.831688494686237,4.813609810115105e-15,
FAP,UP,25,COMP,11.194935682076594,7.82923240091899,4.9085756245478515e-15,ENSG00000105664.10
FAP,UP,26,ST13P18,17.302736206470453,7.821657985292749,5.2132089992206365e-15,ENSG00000234322.1
FAP,UP,27,NPM1P49,16.62891716630987,7.767300023411281,8.017677871254721e-15,ENSG00000226556.2
FAP,UP,28,SNORD67,17.542827186251074,7.736801369489711,1.0194914505378042e-14,ENSG00000252427.1
FAP,UP,29,AL161785.1,17.11129832099995,7.727243009813464,1.0990072927699776e-14,
FAP,UP,30,MANCR,16.84223540670989,7.700866532387509,1.3514659299193091e-14,
FAP,UP,31,OR2AG2,16.825420507581615,7.662119188292584,1.828897857557191e-14,ENSG00000188124.2
FAP,UP,32,SNORD97,16.737453350876127,7.643520246718109,2.113618748887277e-14,
FAP,UP,33,SNORA58,17.60130102140195,7.632345757558816,2.3052018009253742e-14,ENSG00000201003.1
FAP,UP,34,TTC39C-AS1,17.030658293162947,7.628689076335706,2.371528317953612e-14,ENSG00000264745.1
FAP,UP,35,MISP,16.39827274361851,7.623729546525944,2.4644944484126452e-14,ENSG00000099812.8
FAP,UP,36,AC131009.2,16.237860519795454,7.613281042747144,2.67223848577147e-14,
FAP,UP,37,AC020978.6,16.44123609709266,7.606327523064063,2.8199412561973563e-14,
FAP,UP,38,RPSAP6,17.101759538814264,7.591981104668422,3.1505096998865286e-14,ENSG00000214629.3
FAP,UP,39,TPSB2,14.248017309645912,7.563143692207409,3.934425538450112e-14,ENSG00000197253.13
FAP,UP,40,AC006076.1,17.399969595689463,7.559793189550177,4.03710725931486e-14,ENSG00000225563.1
FAP,UP,41,LHX2,16.068805345041252,7.556265836738143,4.148056373157461e-14,ENSG00000106689.10
FAP,UP,42,AGAP1-IT1,16.533119032467845,7.525297200401155,5.2600538331413646e-14,ENSG00000235529.1
FAP,UP,43,CYP2S1,16.77814551931121,7.46511281394397,8.322827402760926e-14,ENSG00000167600.13
FAP,UP,44,GGTA2P,15.727102584988382,7.464058275530449,8.389746671981079e-14,ENSG00000237766.2
FAP,UP,45,AC080013.3,16.828892074988026,7.42060886394247,1.1658313626177397e-13,
FAP,UP,46,FGF7,10.082604988649486,7.415088398946246,1.2154370946362134e-13,ENSG00000140285.12
FAP,UP,47,AC024361.1,16.42081170290941,7.398184051381091,1.3805941357558618e-13,
FAP,UP,48,AL158175.1,16.51201469511281,7.349906061088036,1.9834620233657254e-13,
FAP,UP,49,PPP1R14B-AS1,17.108515615785876,7.132190348323283,9.878413082325885e-13,
FAP,UP,50,BAAT,17.24420921326435,7.0828242965462085,1.4124571788001588e-12,ENSG00000136881.12
FAP,UP,51,PTGFR,11.277660047825266,6.832071022146808,8.369739154720266e-12,ENSG00000122420.10
FAP,UP,52,ITGB2-AS1,16.861652042118035,6.733568739081674,1.6555139357301975e-11,ENSG00000227039.7
FAP,UP,53,AP001885.2,15.76366125569258,6.714855723794882,1.882523902693367e-11,
FAP,UP,54,LRFN1,15.10484085738208,6.701791622864511,2.0587948675533188e-11,ENSG00000128011.4
FAP,UP,55,LINC01303,18.71419590269152,6.686263425903785,2.2894076554196378e-11,
FAP,UP,56,LINC02473,14.875142345603098,6.652696435835173,2.8777135063735077e-11,
FAP,UP,57,FAAP100,1.3465736749677448,6.549543490769484,5.7713232222313874e-11,ENSG00000185504.17
FAP,UP,58,TECRP1,8.948921505112079,6.53898020738298,6.193972080170716e-11,ENSG00000235043.3
FAP,UP,59,SLC25A51P4,15.09276912474643,6.484418096538257,8.907489613911152e-11,
FAP,UP,60,AC006970.1,13.037246029600032,6.456267004394418,1.0731719913221336e-10,
FAP,UP,61,SPINT1-AS1,14.92766119507002,6.409783158449796,1.4572675398753356e-10,
FAP,UP,62,CCL13,18.544444695551288,6.377295244941902,1.8024278405218504e-10,ENSG00000181374.7
FAP,UP,63,CLDN6,16.061692341965994,6.3755300629267495,1.8233121757902077e-10,ENSG00000184697.6
FAP,UP,64,THBS1,11.101365870583376,6.348431213453407,2.1752165713696726e-10,ENSG00000137801.11
FAP,UP,65,ACBD7,15.856932664765306,6.346486757814772,2.2028749868893638e-10,ENSG00000176244.6
FAP,UP,66,AC025614.2,15.97929594215564,6.330675171326146,2.440907272973478e-10,
FAP,UP,67,CCL19,15.465696271204449,6.31680354325225,2.670286818759086e-10,ENSG00000172724.11
