stratum,tf,beta_age,se_age,p_age,ci_lo,ci_hi,beta_age_x_smtsisch,p_age_x_smtsisch,n,r2,family,pre_cv_n,post_cv_n,bonf_alpha,bonf_sig
pooled,SCENIC__FAP__ATF3,0.0015397545955200414,0.0013224375645352583,0.2446384447425716,-0.0010561175222178947,0.004135626713257978,-3.7145183989177147e-06,0.054141333696770245,803,0.013534352021348117,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__FAP__CEBPB,-0.0020725697769321512,0.003740765507427708,0.5797002887123501,-0.009415486478742532,0.005270346924878229,1.339363559772695e-05,0.014169772535539004,803,0.12624849885115175,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__FAP__EGR1,-0.0011004277760959334,0.003773989926987384,0.7706820626265678,-0.008508562183963612,0.006307706631771745,-4.391324495347682e-06,0.424579522868165,803,0.09476212982974985,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__FAP__FOS,0.013118658850556533,0.004013422678372262,0.001126760081380293,0.005240531136341943,0.020996786564771122,-1.79032543439229e-06,0.7594701013259189,803,0.16897298451689813,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__FAP__FOSL2,-0.0017877453317796017,0.001178172459593982,0.12956516067224327,-0.004100432992630756,0.0005249423290715519,1.0321822518152881e-07,0.9520494856384327,803,0.011262635072160854,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__FAP__IRF1,0.0009823213092818037,0.001965897792911215,0.6174377949353314,-0.00287662780392959,0.0048412704224931975,2.465176882066402e-06,0.3895099934904138,803,0.06672051055286621,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__FAP__JUNB,0.006463925697200628,0.0034093442095501024,0.05832892150653424,-0.00022842924694572303,0.013156280641346978,-1.3570621704732108e-05,0.006415887715628973,803,0.0505765624601785,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__FAP__KLF10,-0.0025670226887854657,0.0024756080368024663,0.30008477454543353,-0.007426504943013382,0.002292459565442451,1.0654771754878721e-05,0.003218184947238135,803,0.03122819453482384,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__MuSC__ATF3,0.0016132861914120668,0.0017180239656974575,0.34799679922547566,-0.0017591002484172306,0.004985672631241364,2.1788901989927982e-06,0.38413456005433566,803,0.048138253626601624,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__MuSC__CEBPB,-0.008245502767937965,0.0031203697512916027,0.008391709546353184,-0.014370616763211781,-0.0021203887726641496,1.0387714813378216e-05,0.022533895992349024,803,0.12615581594370995,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__MuSC__EGR1,0.0031974259945225297,0.0026254952733248114,0.22364623633318426,-0.0019562766512970942,0.008351128640342154,2.2921472366192777e-07,0.9522164024627922,803,0.017577692269726497,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__MuSC__FOS,0.002895838598622245,0.0027607483322011042,0.29452716286568464,-0.002523358353916594,0.008315035551161084,2.6867194739229816e-06,0.5042061524120622,803,0.05167875446069836,mlm,803,803,0.000462962962962963,False
