gene_symbol,logFC,moderated_t,p_value
WASL,-0.685076389889908,-8.794174497035403,5.030765784920954e-11
BMI1,-0.7069942174628057,-8.788914694593439,5.1136347544127635e-11
ABRA,-0.8826201415877103,-8.787267482294064,5.1398698221045804e-11
SYNC,-0.7775062593429096,-8.778833429767598,5.276348120005128e-11
NOL11,-0.6786694878394208,-8.770050694015175,5.422368867149687e-11
RNF146,-0.665321005681636,-8.768470809445645,5.4490665956457756e-11
SERINC3,-0.6788043959460864,-8.766513992400029,5.4823184053586396e-11
TMED7,-0.6638374087971761,-8.76388665770225,5.527287340510505e-11
MFSD14A,-0.6496366821398981,-8.75395226633243,5.700722709408709e-11
AIDA,-0.6767450123313127,-8.750484632996903,5.762548915276002e-11
TTC37,-0.6357829523838386,-8.745318658819317,5.855916362408496e-11
ZNF25,-0.6732537284057145,-8.727857814584631,6.182977352274236e-11
ELP2,-0.6082767512852224,-8.713127412482368,6.473233450613046e-11
TOR1AIP1,-0.6426393379245995,-8.71229123587263,6.490117534063427e-11
HIST2H2BE,-0.6737615083956707,-8.708928049732686,6.558478210664616e-11
TMED5,-0.644335029159396,-8.70809469937802,6.575529352113091e-11
H2AFY,-0.6266456476773015,-8.704777420239248,6.643849817485168e-11
PCNT,-0.7053222047626673,-8.699327200852977,6.757661844480934e-11
OSER1,-0.6514642373613112,-8.696745989343894,6.812249248267583e-11
HSPA1B,-0.6770650148840602,-8.695209995286861,6.844943906699014e-11
CCDC43,-0.6302567572499462,-8.691902957722512,6.91587626711099e-11
CIRBP,-0.6127396137404699,-8.690376148920082,6.948875117274011e-11
SEP15,-0.6541836389345915,-8.689329212940285,6.971594513061903e-11
FOXN3,-0.632636168401691,-8.68559457383659,7.053253252467631e-11
HMGN4,-0.7077503782679192,-8.685164718644087,7.062714018484136e-11
SQRDL,-0.6500749742535711,-8.67998438202713,7.1777437597566e-11
IDE,-0.6278988596494951,-8.679384101603416,7.191194984677257e-11
CRIM1,-0.6883336261661295,-8.672328221795338,7.351229502938239e-11
SCFD1,-0.6855211193757701,-8.66108878812456,7.613626672877228e-11
CSE1L,-0.6479149462435954,-8.657994694487233,7.687511068461796e-11
RBFOX1,-0.6463987937438724,-8.655172673528957,7.755530887611063e-11
MTHFD2,-0.6949454390967601,-8.651678337199112,7.840599986677581e-11
TM6SF1,-0.685645210052842,-8.639021547415851,8.156707316219374e-11
DHX15,-0.6965505322173244,-8.634153552034062,8.281692510351864e-11
TRIM55,-0.6768622724911805,-8.628364764794158,8.432843236641172e-11
NUS1,-0.7064286844782787,-8.612375726919097,8.864991759672143e-11
CALD1,-0.7150956815395582,-8.603371109835008,9.118157739032565e-11
IL13RA1,-0.6915490480651945,-8.600504775225446,9.200269813099991e-11
TMEM182,-0.7906642805290205,-8.57987850751363,9.813632486978537e-11
PMP22,-0.7525894718454113,-8.579704041944046,9.818993223800247e-11
RGS5,-0.7347292850381177,-8.579477646924559,9.82595399209746e-11
XPO4,-0.726208334938419,-8.577072676299668,9.900206303905239e-11
RHOA,-0.6087754854135325,-8.57694231523931,9.904247313982507e-11
HSPA1A,-0.6932985133941841,-8.571290462789353,1.0081060211227397e-10
CAMK2G,-0.6475855538187905,-8.56941976168738,1.0140283779268396e-10
SPPL2A,-0.6549931037996274,-8.563745798435022,1.0322073799683944e-10
SCOC,-0.6671788191983582,-8.56373839050707,1.0322313286485315e-10
DNM1L,-0.6104626930178123,-8.54694936058648,1.0879775679188038e-10
TRIP12,-0.5998449563326523,-8.543426284607591,1.1000567745408864e-10
TROVE2,-0.6551118575302455,-8.535520090474028,1.1276599514513884e-10
