SAMPID,compartment,fraction_point,fraction_boot_mean,fraction_boot_ci_low,fraction_boot_ci_high,fraction_boot_cv,residual_l2,residual_ratio,flag_poor_fit
GTEX-1117F-0426-SM-5EGHI,Vascular,0.48584386539685515,0.4849992695754748,0.46497494924671556,0.5028794763154054,0.020605778416404263,208.99203552438632,0.5119886755756885,True
GTEX-1117F-0426-SM-5EGHI,MuSC,0.46983973008544394,0.469577190377175,0.4493086977924785,0.48807190636102765,0.020546119639834735,208.99203552438632,0.5119886755756885,True
GTEX-1117F-0426-SM-5EGHI,FAP,0.04431640451770094,0.0437676455562026,0.03116967410230824,0.05664659903771547,0.14675868133202236,208.99203552438632,0.5119886755756885,True
GTEX-1117F-0426-SM-5EGHI,Immune,0.0,0.0016558944911476108,0.0,0.023859761101971376,3.9360136304938353,208.99203552438632,0.5119886755756885,True
GTEX-111CU-2026-SM-5GZZC,Vascular,0.43094497184873143,0.43102834705282167,0.4121230787479466,0.44948208999852685,0.02227121455285242,209.34346698684942,0.517731984632994,True
GTEX-111CU-2026-SM-5GZZC,MuSC,0.5391247345395559,0.5390153902958216,0.5219348036265449,0.5578402699072917,0.017237007782442845,209.34346698684942,0.517731984632994,True
GTEX-111CU-2026-SM-5GZZC,FAP,0.02993029361171251,0.02973353606295243,0.016700676551772983,0.0427563356571855,0.22623494516089307,209.34346698684942,0.517731984632994,True
GTEX-111CU-2026-SM-5GZZC,Immune,0.0,0.00022272658840484774,0.0,0.0,10.52737779307439,209.34346698684942,0.517731984632994,True
GTEX-111FC-0326-SM-5GZZ1,Vascular,0.43952941909258847,0.4397890607001945,0.4098347662084314,0.4672456192862899,0.03376156836986969,199.5930347214279,0.55931102251079,True
GTEX-111FC-0326-SM-5GZZ1,MuSC,0.498795059371471,0.4995042707998924,0.4697122560841769,0.5311710819990498,0.03291733335602627,199.5930347214279,0.55931102251079,True
GTEX-111FC-0326-SM-5GZZ1,FAP,0.0,0.0,0.0,0.0,0.0,199.5930347214279,0.55931102251079,True
GTEX-111FC-0326-SM-5GZZ1,Immune,0.06167552153594054,0.06070666849991242,0.004275223079241267,0.11420642612806332,0.42955116819152517,199.5930347214279,0.55931102251079,True
GTEX-111VG-2626-SM-5GZY2,Vascular,0.42843550512545525,0.4285355774339959,0.4011761118567821,0.45305983467357736,0.030847045767522303,207.9989850931202,0.5231319456780015,True
GTEX-111VG-2626-SM-5GZY2,MuSC,0.5274468925882875,0.5278222091065458,0.4989832132861545,0.5557159011162289,0.02852175109872725,207.9989850931202,0.5231319456780015,True
GTEX-111VG-2626-SM-5GZY2,FAP,0.0,0.00024340509863799673,0.0,0.00351689447072355,4.673017743307491,207.9989850931202,0.5231319456780015,True
GTEX-111VG-2626-SM-5GZY2,Immune,0.04411760228625716,0.043398808360820204,0.0,0.09125684752228999,0.5200775319461663,207.9989850931202,0.5231319456780015,True
GTEX-111YS-2326-SM-5987L,Vascular,0.4428999147695933,0.44272955983757856,0.41233260690507634,0.46579498006288,0.031378245806871985,206.5487551531143,0.490605067570721,False
GTEX-111YS-2326-SM-5987L,MuSC,0.5220366124703194,0.5217729232929523,0.49197419629425326,0.5501590735527955,0.029896688389817027,206.5487551531143,0.490605067570721,False
GTEX-111YS-2326-SM-5987L,FAP,0.0,8.236568746546479e-06,0.0,0.0,14.053245343830225,206.5487551531143,0.490605067570721,False
GTEX-111YS-2326-SM-5987L,Immune,0.03506347276008734,0.035489280300722334,0.0,0.0912232852305853,0.6920395991794619,206.5487551531143,0.490605067570721,False
GTEX-1122O-2426-SM-5GIDN,Vascular,0.36827643655314385,0.36621683041031544,0.33949784554336476,0.3874130347169997,0.03311765176358709,210.2549736796833,0.5059877273863178,True
GTEX-1122O-2426-SM-5GIDN,MuSC,0.581501086880331,0.5784396077205044,0.5462337566376411,0.6044054498061193,0.026438144338866522,210.2549736796833,0.5059877273863178,True
GTEX-1122O-2426-SM-5GIDN,FAP,0.038220286880832045,0.03760201832451384,0.025165918779181475,0.05038750146765622,0.175572793551316,210.2549736796833,0.5059877273863178,True
GTEX-1122O-2426-SM-5GIDN,Immune,0.012002189685693387,0.017741543544666,0.0,0.07063297087665908,1.1944468107231416,210.2549736796833,0.5059877273863178,True
GTEX-1128S-2426-SM-5H11B,Vascular,0.46737640392294577,0.46663290957376213,0.4471528539279008,0.4854380507928457,0.021374756640342222,205.70394685013653,0.6254630061609044,True
GTEX-1128S-2426-SM-5H11B,MuSC,0.5326235960770542,0.5318253352029325,0.5121589819448971,0.5501846817323712,0.01849230631700083,205.70394685013653,0.6254630061609044,True
GTEX-1128S-2426-SM-5H11B,FAP,0.0,0.0,0.0,0.0,0.0,205.70394685013653,0.6254630061609044,True
GTEX-1128S-2426-SM-5H11B,Immune,0.0,0.00154175522330538,0.0,0.021780799057509938,4.781150866903496,205.70394685013653,0.6254630061609044,True
GTEX-113JC-2726-SM-5EGIS,Vascular,0.4497762949011924,0.4504952928433134,0.42458797855491964,0.4779561043962069,0.029829159034534116,198.88427617572935,0.531272918321516,True
GTEX-113JC-2726-SM-5EGIS,MuSC,0.45510657957537887,0.4558629545436002,0.4315412810451598,0.4860560226293344,0.029945751520788547,198.88427617572935,0.531272918321516,True
GTEX-113JC-2726-SM-5EGIS,FAP,0.0,0.0,0.0,0.0,0.0,198.88427617572935,0.531272918321516,True
GTEX-113JC-2726-SM-5EGIS,Immune,0.09511712552342867,0.09364175261308597,0.04653841466994182,0.13670444051847977,0.23419445654442414,198.88427617572935,0.531272918321516,True
GTEX-117XS-2526-SM-5H11G,Vascular,0.4066364797385111,0.4070923025269405,0.3773373333451756,0.43370748336444687,0.034524298264849804,201.87249633473047,0.6150010923956382,True
GTEX-117XS-2526-SM-5H11G,MuSC,0.5394116760813038,0.5402376655325339,0.5085923472689036,0.5741820720296983,0.031818559958545614,201.87249633473047,0.6150010923956382,True
GTEX-117XS-2526-SM-5H11G,FAP,0.0,0.0,0.0,0.0,0.0,201.87249633473047,0.6150010923956382,True
GTEX-117XS-2526-SM-5H11G,Immune,0.05395184418018501,0.0526700319405253,0.0,0.1052854592986328,0.485950265040819,201.87249633473047,0.6150010923956382,True
GTEX-117YW-2426-SM-5Q5AE,Vascular,0.4301986596566986,0.4275391289609411,0.4047533091983683,0.44659168799553367,0.02579816582471376,203.7157525508745,0.5989313130397067,True
GTEX-117YW-2426-SM-5Q5AE,MuSC,0.5698013403433014,0.5662056796354564,0.5419792054066992,0.5868143205771964,0.0206278538656133,203.7157525508745,0.5989313130397067,True
GTEX-117YW-2426-SM-5Q5AE,FAP,0.0,0.0,0.0,0.0,0.0,203.7157525508745,0.5989313130397067,True
GTEX-117YW-2426-SM-5Q5AE,Immune,0.0,0.006255191403602809,0.0,0.04702973994604496,2.141915749402798,203.7157525508745,0.5989313130397067,True
GTEX-117YX-2526-SM-5EQ4Q,Vascular,0.43561078862799213,0.4357647201066763,0.41786858867545545,0.4542502253495238,0.021188161375078767,207.5696513278967,0.48398054716750205,False
GTEX-117YX-2526-SM-5EQ4Q,MuSC,0.5443131074440463,0.5441764295577254,0.5262445037948449,0.562548932557716,0.0166876280131512,207.5696513278967,0.48398054716750205,False
GTEX-117YX-2526-SM-5EQ4Q,FAP,0.02007610392796163,0.01974131999837079,0.006908377109212882,0.032072796445633975,0.32346085726555873,207.5696513278967,0.48398054716750205,False
GTEX-117YX-2526-SM-5EQ4Q,Immune,0.0,0.00031753033722724526,0.0,0.0,8.74814509812355,207.5696513278967,0.48398054716750205,False
GTEX-1192X-0426-SM-5GIEE,Vascular,0.48462012895818557,0.4845861472058269,0.46650850230867047,0.501597171480555,0.019216404811063396,211.8105623658072,0.5039188815124777,True
GTEX-1192X-0426-SM-5GIEE,MuSC,0.47831675265113655,0.4783230907407433,0.4607083365718993,0.49502910158870234,0.01903376699045696,211.8105623658072,0.5039188815124777,True
GTEX-1192X-0426-SM-5GIEE,FAP,0.03706311839067772,0.03657414902102008,0.023930720779268635,0.04928010533400057,0.1757822636615798,211.8105623658072,0.5039188815124777,True
GTEX-1192X-0426-SM-5GIEE,Immune,0.0,0.0005166130324092849,0.0,0.007015013061277291,7.055329792610349,211.8105623658072,0.5039188815124777,True
GTEX-11DXW-0726-SM-5H12J,Vascular,0.3642969570027933,0.3646559043343042,0.34223936924758475,0.3869914463654416,0.03177336474645572,196.8083471967376,0.5434410107162141,True
GTEX-11DXW-0726-SM-5H12J,MuSC,0.5406940376735766,0.5415112220684294,0.5134910465878583,0.5737926351203289,0.02824623421694884,196.8083471967376,0.5434410107162141,True
GTEX-11DXW-0726-SM-5H12J,FAP,0.0,0.0,0.0,0.0,0.0,196.8083471967376,0.5434410107162141,True
GTEX-11DXW-0726-SM-5H12J,Immune,0.09500900532363016,0.09383287359726668,0.045230388376853704,0.13540349733967316,0.2268626753381826,196.8083471967376,0.5434410107162141,True
GTEX-11DXX-2726-SM-5PNXO,Vascular,0.4799247228066629,0.4752961495837952,0.44298246428968585,0.4972495018165446,0.0276744364208635,212.25918454803752,0.5445159759804341,True
GTEX-11DXX-2726-SM-5PNXO,MuSC,0.51540559824047,0.5105493265685458,0.4807232615502144,0.5338807990603008,0.026344147514528175,212.25918454803752,0.5445159759804341,True
GTEX-11DXX-2726-SM-5PNXO,FAP,0.0,0.0,0.0,0.0,0.0,212.25918454803752,0.5445159759804341,True
GTEX-11DXX-2726-SM-5PNXO,Immune,0.004669678952867071,0.014154523847658685,0.0,0.06818907576787184,1.4178916344270602,212.25918454803752,0.5445159759804341,True
