model,term,beta,se,p,r2,n
m1_age_sex,Intercept,4.679637996901483,0.019521251631903224,0.0,0.02332403911961567,803
m1_age_sex,C(sex)[T.2.0],0.021821556103782024,0.009742875387519926,0.02538143551805988,0.02332403911961567,803
m1_age_sex,age,0.001344061304434277,0.00035286966877516503,0.00015024682823751062,0.02332403911961567,803
m2_age_sex_smtsisch_interaction,Intercept,4.784328097297184,0.034400451604841766,0.0,0.044080610970652634,803
m2_age_sex_smtsisch_interaction,C(sex)[T.2.0],0.020188390944420674,0.009707553254986057,0.037875624229604214,0.044080610970652634,803
m2_age_sex_smtsisch_interaction,age,-0.0003236228352987351,0.0006601055824297356,0.6240852572452069,0.044080610970652634,803
m2_age_sex_smtsisch_interaction,SMTSISCH,-0.00020459263259942445,5.266785284587923e-05,0.00011100040570876781,0.044080610970652634,803
m2_age_sex_smtsisch_interaction,age:SMTSISCH,3.2652628700777476e-06,9.609359332340329e-07,0.0007124383466809154,0.044080610970652634,803
attenuation,age_beta_pct_attenuation,1.240779817282925,,,,803
