Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	Regulation Of Synaptic Vesicle Exocytosis (GO:2000300) BP	0.44166137402369554	1.0550677645848257	0.3933933933933934	0.91129506194435	1.0	7/32	18.68%	NCS1;P2RX1;GIT2;P2RY2;P2RY1;FBXO45;HTR1B
prerank	Anchored Component Of Synaptic Vesicle Membrane (GO:0098993) CC	0.4695968901650189	1.044180002852712	0.43016194331983804	0.9339704727120505	1.0	7/17	28.35%	RAB2A;CPLX3;RAB5A;RAB35;RAB3C;RAB3B;RAB5B
prerank	Postsynaptic Actin Cytoskeleton Organization (GO:0098974) BP	0.4559405933473256	1.0380912225826193	0.44232698094282846	0.938725269059741	1.0	5/20	17.75%	WASF2;SIPA1L1;WASL;SH3GL2;ABI2
prerank	Postsynapse Organization (GO:0099173) BP	0.4638052836494817	1.0321430551035142	0.4238143289606458	0.9422808886395314	1.0	5/17	17.75%	WASF2;STK38;HIP1R;WASL;ABI2
prerank	Voltage-Gated Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099508) BP	0.4507365497719562	1.0225297278676786	0.4471299093655589	0.9583586806954726	1.0	5/17	20.23%	KCNJ11;KCNC2;SCN10A;KCNJ3;KCNA2
prerank	Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane (GO:0099645) BP	0.43948659775987314	1.0132840138725832	0.47076612903225806	0.9750526637422446	1.0	10/23	34.12%	C1QL3;GPHN;CNIH3;NPTXR;LHFPL4;NETO2;DLG2;C1QL2;CACNG3;DLG1
prerank	Postsynaptic Density (GO:0014069) CC	0.3916767539725915	0.9923203518213018	0.521	1.0	1.0	47/106	39.96%	DGKZ;PURA;ARHGAP44;RPS27;RPS13;DGCR8;VHL;RPS18;PCBP1;RPL38;PRKCZ;RAPGEF4;GSK3B;RPL5;TSC1;ANKS1B;PLEKHA5;KPNA1;CRTC1;PHB2;EGLN1;LZTS3;MAGI2;EEF2K;RPLP0;DISC1;CAMK2A;EPS8;TACC3;TSC2;CAPZB;RPS3;HNRNPD;HOMER1;ABL1;HNRNPA3;RGS14;HOMER2;DVL1;DNAJB1;TAMALIN;RPL10A;PAK2;NUMB;RPL14;PLCB4;RPL6
prerank	Synaptic Vesicle Exocytosis (GO:0016079) BP	0.4832248959782992	0.9863382714990907	0.5067637877211238	1.0	1.0	7/10	44.17%	STX3;SNAP25;UNC13A;MCTP2;UNC13B;PPFIA3;STX1A
prerank	Integral Component Of Synaptic Vesicle Membrane (GO:0030285) CC	0.4089697041485421	0.9813304512229101	0.559	1.0	1.0	19/47	32.40%	ATP6V0D1;SLC17A8;SV2A;OPRK1;WFS1;SLC30A3;SYPL1;SYT2;OPRD1;ATP6V0C;TMEM163;SLC6A7;STX12;SLC6A2;STX6;ATP6V0A4;SYT11;SLC18A2;SYNPR
prerank	Synapse (GO:0045202) CC	0.3749234893224705	0.975734668730326	0.616	1.0	1.0	84/219	37.95%	GRN;LRRTM4;RPL13;EIF5;FLOT1;SLC6A11;CAPRIN1;RPS27;CDH10;RPS13;CORO1A;WASF2;RPS16;TUFM;RTN3;VGF;RPS18;FKBP1A;ACTBL2;HNRNPA0;UBA52;RPS24;APOA4;RPL38;TPD52;EIF2S1;RAB1B;CDH13;RPL5;RPL15;VCP;PCDH8;AP2B1;RPL23A;RPL34;MADD;RPL18;TBC1D24;RAB8A;HABP4;SH3GL2;ABLIM3;CYFIP2;FLOT2;RPL36;YWHAQ;HNRNPLL;EIF5B;RPL32;HNRNPL;PPP3CA;ADORA2B;RPS6KA1;RPLP0;RPS9;FGG;SPARC;RPS2;LIN7C;GPC6;BIN1;PPP2R1A;PPM1H;RPL22;EPS15;TSC2;PPA2;SLC16A1;NCAN;PPP3CB;RPS3;FUBP1;RPLP2;HNRNPD;YWHAH;CDH9;RPL37;RPL19;TDRD6;FGA;EIF5A;FBXL20;RPS15A;RPL10A
prerank	Presynaptic Dense Core Vesicle Exocytosis (GO:0099525) BP	0.46599380473984076	0.9627808758811194	0.5384615384615384	1.0	1.0	6/10	41.12%	RIMS1;SNAP25;RAB5B;DNM2;RAB10;SYT10
prerank	Neuronal Dense Core Vesicle (GO:0098992) CC	0.40470192443523034	0.9552361665057213	0.594188376753507	1.0	1.0	11/26	38.99%	DMXL2;ADRB1;FZD8;CACNA2D1;OPRD1;PDYN;SLC18A2;SCG2;DVL1;APP;NPFF
