permutation_id	density	edge_count	mean_degree
0	0.0028804020305812895	282	1.27313769751693
1	0.0027271891566141996	267	1.2054176072234764
2	0.0028191168809944536	276	1.2460496613995484
3	0.0030234007129505735	296	1.3363431151241536
4	0.0029825439465593494	292	1.3182844243792324
5	0.0026148330490383337	256	1.1557562076749435
6	0.0029519013717659317	289	1.3047404063205417
7	0.00262504724063614	257	1.1602708803611739
8	0.0030234007129505735	296	1.3363431151241536
9	0.002645475623831752	259	1.1693002257336342
10	0.0027680459230054236	271	1.2234762979683973
11	0.002645475623831752	259	1.1693002257336342
12	0.0027271891566141996	267	1.2054176072234764
13	0.0029825439465593494	292	1.3182844243792324
14	0.002890616222179096	283	1.2776523702031604
15	0.002594404665842722	254	1.146726862302483
16	0.002492262749864662	244	1.1015801354401806
17	0.00257397628264711	252	1.1376975169300225
18	0.0031051142457330216	304	1.3724604966139955
19	0.0026148330490383337	256	1.1557562076749435
20	0.00262504724063614	257	1.1602708803611739
21	0.0023696924506909902	232	1.0474040632054176
22	0.002400335025484408	235	1.0609480812641083
23	0.002594404665842722	254	1.146726862302483
24	0.002287978917908542	224	1.0112866817155757
25	0.002737403348212006	268	1.2099322799097065
26	0.002543333707853692	249	1.1241534988713318
27	0.0029621155633637376	290	1.309255079006772
28	0.002339049875897572	229	1.0338600451467268
29	0.0027578317314076177	270	1.2189616252821671
30	0.0028497594557878717	279	1.2595936794582392
31	0.0029212587969725135	286	1.2911963882618511
32	0.0031868277785154693	312	1.4085778781038374
33	0.0029008304137769017	284	1.2821670428893905
34	0.002533119516255886	248	1.1196388261851016
35	0.0028293310725922595	277	1.2505643340857788
36	0.00242076340868002	237	1.069977426636569
37	0.002461620175071244	241	1.0880361173814899
38	0.0026659040070273637	261	1.1783295711060948
39	0.0029723297549615435	291	1.3137697516930023
40	0.0029927581381571557	293	1.3227990970654628
41	0.00262504724063614	257	1.1602708803611739
42	0.0030234007129505735	296	1.3363431151241536
43	0.002328835684299766	228	1.0293453724604966
44	0.002328835684299766	228	1.0293453724604966
45	0.0029008304137769017	284	1.2821670428893905
