subtype,gene,n_cells,pct_expressing,mean_expression
CD8+ naive TC,CXCL2,761,6.04,0.110799
CD8+ naive TC,CXCL3,761,2.63,0.04479
CD8+ naive TC,CXCL8,761,3.81,0.069268
CD8+ naive TC,IL1B,761,1.84,0.051887
CD8+ naive TC,CCL2,761,6.96,0.116859
CD8+ naive TC,CCL20,761,4.07,0.118687
CD8+ naive TC,CXCL6,761,0.0,0.0
CD8+ naive TC,PLAU,761,1.45,0.021098
CD8+ naive TC,PLAUR,761,6.31,0.10287
CD8+ naive TC,TIMP1,761,17.61,0.290809
CD8+ naive TC,MMP1,761,0.13,0.001991
CD8+ naive TC,IL6,761,1.05,0.015028
CD8+ naive TC,TNF,761,16.16,0.324248
CD8+ naive TC,IL1A,761,0.26,0.004475
CD8+ naive TC,S100A8,761,5.26,0.102283
CD8+ naive TC,S100A9,761,6.44,0.108072
CD8+ naive TC,NLRP3,761,3.42,0.056394
DC,CXCL1,149,0.67,0.01542
DC,CXCL2,149,34.23,0.607151
DC,CXCL3,149,14.09,0.235818
DC,CXCL8,149,42.95,1.124316
DC,IL1B,149,26.85,0.555474
DC,CCL2,149,28.19,0.361864
DC,CCL20,149,2.68,0.031588
DC,CXCL6,149,0.0,0.0
DC,PLAU,149,11.41,0.1318
DC,PLAUR,149,69.13,1.594999
DC,TIMP1,149,68.46,1.568107
DC,MMP1,149,0.0,0.0
DC,IL6,149,6.04,0.069665
DC,TNF,149,11.41,0.163236
DC,IL1A,149,4.03,0.054652
DC,S100A8,149,11.41,0.249086
DC,S100A9,149,15.44,0.355333
DC,NLRP3,149,29.53,0.461882
LAM MΦ,CXCL1,873,22.79,0.417111
LAM MΦ,CXCL2,873,70.45,1.904418
LAM MΦ,CXCL3,873,62.54,1.562665
LAM MΦ,CXCL8,873,66.21,2.008131
LAM MΦ,IL1B,873,24.51,0.506391
LAM MΦ,CCL2,873,57.85,1.213248
LAM MΦ,CCL20,873,11.23,0.188466
LAM MΦ,CXCL6,873,1.83,0.02479
LAM MΦ,PLAU,873,27.84,0.34761
LAM MΦ,PLAUR,873,69.76,1.422894
LAM MΦ,TIMP1,873,72.97,1.70859
LAM MΦ,MMP1,873,0.34,0.004024
LAM MΦ,IL6,873,11.68,0.153463
LAM MΦ,TNF,873,8.71,0.121591
LAM MΦ,IL1A,873,2.98,0.035792
LAM MΦ,S100A8,873,16.27,0.236491
LAM MΦ,S100A9,873,54.07,0.986051
LAM MΦ,NLRP3,873,20.62,0.260573
LYVE1+ M2,CXCL1,4683,4.63,0.076458
LYVE1+ M2,CXCL2,4683,22.04,0.468049
LYVE1+ M2,CXCL3,4683,17.53,0.359696
LYVE1+ M2,CXCL8,4683,19.09,0.481206
LYVE1+ M2,IL1B,4683,4.85,0.082771
LYVE1+ M2,CCL2,4683,36.81,0.730288
LYVE1+ M2,CCL20,4683,0.53,0.006347
LYVE1+ M2,CXCL6,4683,0.21,0.003004
LYVE1+ M2,PLAU,4683,14.11,0.1881
LYVE1+ M2,PLAUR,4683,30.13,0.580345
LYVE1+ M2,TIMP1,4683,28.7,0.547654
LYVE1+ M2,MMP1,4683,0.15,0.00149
LYVE1+ M2,IL6,4683,3.97,0.048949
LYVE1+ M2,TNF,4683,4.06,0.056745
LYVE1+ M2,IL1A,4683,0.49,0.005592
LYVE1+ M2,S100A8,4683,9.08,0.144927
LYVE1+ M2,S100A9,4683,19.03,0.355049
LYVE1+ M2,NLRP3,4683,20.35,0.292268
Mast cell,CXCL1,592,0.51,0.006122
Mast cell,CXCL2,592,15.37,0.245716
Mast cell,CXCL3,592,3.38,0.043447
Mast cell,CXCL8,592,4.39,0.074698
Mast cell,IL1B,592,0.34,0.004789
Mast cell,CCL2,592,62.67,1.58843
Mast cell,CCL20,592,0.17,0.002647
Mast cell,CXCL6,592,0.17,0.002373
Mast cell,PLAU,592,14.7,0.190086
Mast cell,PLAUR,592,58.28,1.068398
Mast cell,TIMP1,592,72.97,1.402071
Mast cell,MMP1,592,0.34,0.007205
Mast cell,IL6,592,4.05,0.054956
Mast cell,TNF,592,8.45,0.142247
Mast cell,IL1A,592,0.34,0.003854
Mast cell,S100A8,592,1.69,0.020875
Mast cell,S100A9,592,3.21,0.040496
Mast cell,NLRP3,592,2.2,0.028715
Mem BC,CXCL1,206,2.91,0.063912
Mem BC,CXCL2,206,18.45,0.384588
Mem BC,CXCL3,206,9.22,0.253415
Mem BC,CXCL8,206,12.14,0.323414
Mem BC,IL1B,206,5.83,0.146484
Mem BC,CCL2,206,25.73,0.468128
Mem BC,CCL20,206,1.94,0.035893
Mem BC,CXCL6,206,0.0,0.0
Mem BC,PLAU,206,7.28,0.114141
Mem BC,PLAUR,206,15.53,0.309442
Mem BC,TIMP1,206,22.33,0.436163
Mem BC,MMP1,206,0.0,0.0
Mem BC,IL6,206,7.28,0.103154
Mem BC,TNF,206,16.5,0.319169
Mem BC,IL1A,206,1.94,0.026165
Mem BC,S100A8,206,6.31,0.130609
Mem BC,S100A9,206,9.71,0.208795
Mem BC,NLRP3,206,2.43,0.035005
NK,CXCL1,1663,0.42,0.005008
NK,CXCL2,1663,7.76,0.135462
NK,CXCL3,1663,2.22,0.038606
NK,CXCL8,1663,2.65,0.05213
NK,IL1B,1663,1.62,0.042973
NK,CCL2,1663,11.73,0.200686
NK,CCL20,1663,0.42,0.00917
NK,CXCL6,1663,0.12,0.001911
NK,PLAU,1663,4.21,0.060171
NK,PLAUR,1663,5.59,0.091967
NK,TIMP1,1663,15.75,0.255029
NK,MMP1,1663,0.0,0.0
NK,IL6,1663,1.14,0.016927
NK,TNF,1663,25.2,0.580111
NK,IL1A,1663,0.0,0.0
NK,S100A8,1663,3.49,0.064602
NK,S100A9,1663,3.07,0.05004
NK,NLRP3,1663,1.2,0.019545
NKT,CXCL1,439,0.46,0.004705
NKT,CXCL2,439,10.02,0.154772
NKT,CXCL3,439,2.96,0.038429
NKT,CXCL8,439,2.73,0.040441
NKT,IL1B,439,0.68,0.00945
NKT,CCL2,439,18.68,0.302598
NKT,CCL20,439,1.37,0.025428
NKT,CXCL6,439,0.0,0.0
NKT,PLAU,439,3.19,0.038948
NKT,PLAUR,439,7.29,0.098419
NKT,TIMP1,439,27.33,0.431668
NKT,MMP1,439,0.23,0.00258
NKT,IL6,439,1.82,0.023043
NKT,TNF,439,17.31,0.353961
NKT,IL1A,439,0.0,0.0
NKT,S100A8,439,1.59,0.034961
NKT,S100A9,439,3.87,0.058561
NKT,NLRP3,439,1.82,0.024579
Naive BC,CXCL1,208,0.48,0.011429
Naive BC,CXCL2,208,3.37,0.067771
Naive BC,CXCL3,208,4.33,0.066637
Naive BC,CXCL8,208,0.48,0.00588
Naive BC,IL1B,208,1.92,0.052093
Naive BC,CCL2,208,8.17,0.145144
Naive BC,CCL20,208,0.0,0.0
Naive BC,CXCL6,208,0.0,0.0
Naive BC,PLAU,208,0.48,0.007274
Naive BC,PLAUR,208,6.25,0.113342
Naive BC,TIMP1,208,8.65,0.154553
Naive BC,MMP1,208,0.0,0.0
Naive BC,IL6,208,3.37,0.050183
Naive BC,TNF,208,12.98,0.260999
Naive BC,IL1A,208,0.96,0.014767
Naive BC,S100A8,208,2.4,0.064282
Naive BC,S100A9,208,4.33,0.091473
Naive BC,NLRP3,208,2.88,0.062602
reg TC,CXCL1,142,0.0,0.0
reg TC,CXCL2,142,9.86,0.166291
reg TC,CXCL3,142,2.82,0.040975
reg TC,CXCL8,142,2.11,0.024491
reg TC,IL1B,142,0.0,0.0
reg TC,CCL2,142,15.49,0.232638
reg TC,CCL20,142,2.11,0.039136
reg TC,CXCL6,142,0.0,0.0
reg TC,PLAU,142,3.52,0.050408
reg TC,PLAUR,142,6.34,0.082958
reg TC,TIMP1,142,22.54,0.357862
reg TC,MMP1,142,0.0,0.0
reg TC,IL6,142,4.23,0.061819
reg TC,TNF,142,12.68,0.253334
reg TC,IL1A,142,0.0,0.0
reg TC,S100A8,142,2.82,0.046416
reg TC,S100A9,142,2.82,0.037967
reg TC,NLRP3,142,0.7,0.009717
