sex,n,JUNB_rho,JUNB_p,JUNB_CI_lo,JUNB_CI_hi,CDKN1A_rho,CDKN1A_p,CDKN1A_CI_lo,CDKN1A_CI_hi,CI_overlap_JUNB
Male,12,0.8951048951048951,8.36658642909172e-05,0.660507291798453,0.970472635797728,0.9772344233319931,4.635469762685387e-08,0.9184113182082114,0.9937851428194757,True
Female,11,0.9358192003574066,2.292672679818994e-05,0.7659021860315411,0.9835527346762118,0.952166479438449,6.254560213027771e-06,0.8215386144118597,0.987818470164263,True
