compartment,rho_CDKN1A_SASP,p_CDKN1A_SASP,rho_JUNB_SASP,p_JUNB_SASP,rho_CDKN1A_JUNB,partial_CDKN1A_SASP_given_JUNB,p_partial_CDKN1A,CI_lower_CDKN1A,CI_upper_CDKN1A,partial_JUNB_SASP_given_CDKN1A,p_partial_JUNB,CI_lower_JUNB,CI_upper_JUNB,steiger_z,steiger_p,vif_CDKN1A,vif_JUNB,decision
Vascular,0.934623965546104,6.815349680096643e-11,0.9371004466418805,4.593967180070937e-11,0.9272591857000992,0.5133533668486864,0.012235112400280928,0.07516852328031395,0.8708998917217725,0.1374877032600528,0.5315908957614357,-0.3352177597979277,0.635574614996851,-0.008925901749327274,0.9928782553700372,10.86577742587738,10.865777920964918,JUNB has independent signal
MuSC,0.8763025558670409,4.235744346564224e-08,0.877004777526771,4.002803913439402e-08,0.9443438847610862,0.5485047062194927,0.006726967056996631,0.039813862340555145,0.8718256830877134,0.24411473188889504,0.26163573473658414,-0.3066461402107291,0.6805988837717443,-0.004369297629466061,0.9965138159722181,4.126181890891088,4.126181890879166,JUNB has independent signal
