compartment,tf,n_donors,rho_total,p_total,ci_95_total,rho_tf_country,p_tf_country,rho_tf_age,p_tf_age,rho_ctry_adj_pg,p_ctry_adj_pg,rho_ctry_adj_resid,p_ctry_adj_resid,within_China_rho,within_China_p,within_China_n,within_China_ci95,within_Spain_rho,within_Spain_p,within_Spain_n,within_Spain_ci95,rho_tf_age_ctry_adj,p_tf_age_ctry_adj,rho_tf_age_ctry_adj_resid,p_tf_age_ctry_adj_resid
Vascular,JUNB,21,0.9282234981275013,1.3389331606330511e-09,"[0.829, 0.971]",0.6965577381388449,0.00045149781359969584,0.08463557809637479,0.7152941020227506,0.8833417866536583,2.470664729855074e-07,0.8678142711674889,3.4736919383098263e-07,0.9340659340659341,2.998703750099579e-06,13,"[0.789, 0.980]",0.5868368683374969,0.12619898553608927,8,"[-0.201, 0.914]",0.33023377555578703,0.15502102963009967,0.3027349524216483,0.18223245357577625
Vascular,KLF10,21,0.8766233766233766,1.8697860892632524e-07,"[0.716, 0.949]",0.6963315463036429,0.00045425326004222663,0.0859097575433187,0.7111836018367833,0.792109245978225,3.1488894833513244e-05,0.7714285714285715,4.2283815561171536e-05,0.8846153846153846,5.9057452171910124e-05,13,"[0.651, 0.965]",0.3333333333333334,0.4197530864197531,8,"[-0.485, 0.841]",0.3318809467734353,0.15284846789851317,0.3006841514016155,0.18536001588746503
MuSC,JUNB,15,0.907142857142857,3.0633105354938657e-06,"[0.738, 0.969]",0.6629699999089105,0.0070631067190015905,0.02685775129868003,0.9243056275819261,0.8289399276661888,0.0002475296454875271,0.8142857142857142,0.000219365827727102,0.7727272727272727,0.005299487178643863,11,"[0.322, 0.938]",1.0,0.0,4,"[nan, nan]",0.29555259316424143,0.304935356314319,0.3169214653244244,0.24976312929204614
MuSC,KLF10,15,0.9214285714285713,1.0713172981620745e-06,"[0.775, 0.974]",0.6280768420189679,0.012167702815156374,-0.2363482114283843,0.3963977245246917,0.8668320684343199,6.00644846866599e-05,0.8785714285714284,1.6315280286544268e-05,0.8272727272727273,0.001676973896452378,11,"[0.451, 0.954]",1.0,0.0,4,"[nan, nan]",-0.0810549664032275,0.7829654167171254,-0.10922152194796546,0.6984026567659831
FAP,JUNB,16,0.22647058823529412,0.3989829266412891,"[-0.303, 0.649]",0.5329480400990121,0.03353292578624218,0.3727875913107813,0.15500722836129524,0.4359722683931833,0.10426482552609251,0.3588235294117647,0.17230386289263244,0.3934065934065934,0.16403157340077784,14,"[-0.173, 0.764]",,,2,N/A,0.5829712206373726,0.02255460306254697,0.5798918087056598,0.01854187030145011
FAP,KLF10,16,0.8617647058823529,1.7805184419815055e-05,"[0.639, 0.951]",-0.08199200616907878,0.7627493970009014,0.048817422671649936,0.8575171078005999,0.8712069144183752,2.3485028418781813e-05,0.8529411764705882,2.6790740577247285e-05,0.8505494505494505,0.0001156561589098896,14,"[0.583, 0.952]",,,2,N/A,0.03272193837744595,0.9078373402977202,0.032544948447766626,0.9047599829678408
