cluster,n_cells,dominant_annotation,mean_JUNB,mean_SASP12,frac_old,frac_young
0,2872,MME+ FAP,-0.5589,-0.1603,0.829,0.171
1,2679,MME+ FAP,-0.5765,-0.1619,0.75,0.25
2,1049,CD55+ FAP,-0.0273,0.0448,0.568,0.432
3,713,MME+ FAP,-0.5477,-0.1495,0.784,0.216
4,319,MME+ FAP,-0.681,-0.1461,0.712,0.288
5,157,MME+ FAP,-0.7916,-0.1133,0.363,0.637
