threshold,effective_N,donor_ids,ages,countries,cell_counts,rho,p_value,note
10,4,"OM5,OM9,OM6,YM1","15,82,80,80","China,China,China,China","11,316,29,253",0.19999999999999998,0.8,Degenerate: N=4<5. Pre-declared INCONCLUSIVE.
20,3,"OM5,OM9,OM6","82,80,80","China,China,China","316,29,253",0.5,0.6666666666666667,Degenerate: N=3<5. Pre-declared INCONCLUSIVE.
