gene,log2FC,padj,log2FC_tech,pvalue_tech,padj_tech,abs_age,abs_tech,tech_over_age,tech_dominates
ZNF385B,2.5950352872482574,0.0013816775041207115,0.15066245179216387,0.7366982016207875,0.8056583110043815,2.5950352872482574,0.15066245179216387,0.05805795880021517,False
C2,2.267038841553756,0.0013816775041207115,-1.6262011613555225,4.273212492668849e-06,2.472181540729696e-05,2.267038841553756,1.6262011613555225,0.71732390797547,False
ZNF608,1.5286588041227032,0.0013816775041207115,-0.821240252248765,0.0017815528956645014,0.005487770042155019,1.5286588041227032,0.821240252248765,0.5372292692351807,False
FAT1,1.971656439708498,0.0013816775041207115,-1.9084127198269054,4.048330909462199e-09,4.6001274694728976e-08,1.971656439708498,1.9084127198269054,0.967923559800843,False
PARP10,1.6915348442278122,0.0019922347533931507,-1.9971610582233177,9.819143870809825e-12,2.076367115933462e-10,1.6915348442278122,1.9971610582233177,1.180679821665172,True
GALNT15,3.2406233638432176,0.0027805902268625746,-1.3538301331236084,0.014548222290914344,0.03270616300727604,3.2406233638432176,1.3538301331236084,0.41776842944131387,False
KIF13B,0.8088691997719667,0.006093313849031487,-0.9632356942992336,2.41220788933656e-10,3.623561616799713e-09,0.8088691997719667,0.9632356942992336,1.1908423445605116,True
BIN3,1.084345512543233,0.0062885264162519956,-0.8909471401866256,1.0355936213626826e-05,5.515857675793837e-05,1.084345512543233,0.8909471401866256,0.8216450659688632,False
HMGCL,1.3622741631116293,0.00829563140018967,-1.7272260282796883,3.222038108479893e-11,6.006512731452232e-10,1.3622741631116293,1.7272260282796883,1.2678989846907591,True
PAK1,1.4794455066261192,0.00829563140018967,-1.184100064366704,2.514435986125579e-05,0.00012344095692950883,1.4794455066261192,1.184100064366704,0.8003674748839167,False
XIRP2,-1.6082655876045182,0.009795239912765825,0.5654788702393637,0.11107734058166087,0.1731478910833128,1.6082655876045182,0.5654788702393637,0.35160789026247463,False
MAN2A1,1.1893842872371267,0.009795239912765825,-1.2661504785625797,9.903720096242667e-08,8.190422158855802e-07,1.1893842872371267,1.2661504785625797,1.0645427992863237,True
PLSCR4,1.2503732125054627,0.009795239912765825,-1.1429316062891512,2.958004645948196e-06,1.7694783792062107e-05,1.2503732125054627,1.1429316062891512,0.9140723704396841,False
PRUNE2,2.160503873846606,0.009795239912765825,-0.26386127479654764,0.5545517145470256,0.6472414847334105,2.160503873846606,0.26386127479654764,0.12212950783872631,False
KCND2,2.443129887914465,0.012442761371966453,1.6408134516270059,0.0018337984306653213,0.00562873659693042,2.443129887914465,1.6408134516270059,0.6716030366390621,False
MUSK,0.9441225657340764,0.016142627955002233,0.24741418674966992,0.2259526187397446,0.31185492944294424,0.9441225657340764,0.24741418674966992,0.2620572749019084,False
LINC01239,-1.3892425127696857,0.020811615085856685,1.189669600134156,0.00024254882688077068,0.0009492834938649993,1.3892425127696857,1.189669600134156,0.8563440790206974,False
GXYLT2,1.1326011180643696,0.020811615085856685,-0.31195560723913796,0.20207212270169805,0.284705300481891,1.1326011180643696,0.31195560723913796,0.2754328971282266,False
SEMA4B,1.2767329626448576,0.020811615085856685,-0.7180769135274885,0.005425876605952243,0.014316719501629917,1.2767329626448576,0.7180769135274885,0.5624331277857297,False
TNFRSF14,1.5379248539205879,0.02614473723997428,-1.8442539783226615,1.1494292893456762e-08,1.1832308619463197e-07,1.5379248539205879,1.8442539783226615,1.199183414990113,True
PAG1,0.8888659558245864,0.027047466428500398,-1.1344236157718162,2.0763398624850657e-09,2.4929970008133577e-08,0.8888659558245864,1.1344236157718162,1.276259494851988,True
PCSK5,1.654166716677536,0.027047466428500398,-0.5431680635415952,0.12468248159968295,0.19085225305253414,1.654166716677536,0.5431680635415952,0.32836355493391334,False
LPL,-2.2040524180697068,0.027047466428500398,-2.1051647556498816,8.561941422098387e-05,0.0003731847492575558,2.2040524180697068,2.1051647556498816,0.9551337066173634,False
TMC6,-2.3386659508864187,0.027047466428500398,-0.3073202007047037,0.5719257728530207,0.6635778578264069,2.3386659508864187,0.3073202007047037,0.13140833584557937,False
MYOF,1.4468953742238404,0.027047466428500398,-1.0579845533689556,0.0005693369109557289,0.0020277825226273174,1.4468953742238404,1.0579845533689556,0.7312101290920854,False
LMO3,3.4239801047443907,0.027859318553739756,-1.3435316622615734,0.03829028800381715,0.072383164520699,3.4239801047443907,1.3435316622615734,0.392388863591797,False
SHISA9,-2.0335384699709933,0.0320440428801485,0.9250093989449029,0.06554413982341491,0.11230952895649306,2.0335384699709933,0.9250093989449029,0.4548767641253904,False
HS3ST5,1.4559165758012864,0.0320440428801485,0.43470042514205015,0.20461409273272924,0.28756430835712327,1.4559165758012864,0.43470042514205015,0.29857509171004937,False
