Term,NES,pval,fdr,leading_edge
UV Response Up,0.9419408735095254,0.579957356076759,0.7560929559293232,ATP6V1C1;NUP58;MAOA;CHRNA5;OLFM1;GPX3;ABCB1;AP2S1;GLS;IL6ST;MARK2;HMOX1;CA2;CASP3;ENO2;LYN;POLR2H;CXCL2;BAK1;GRPEL1;CDO1;JUNB;TGFBRAP1;PPP1R2;IL6;RRAD;BTG2;WIZ;SIGMAR1;RPN1;FOS
Myc Targets V1,0.9343538047461614,0.5775862068965517,0.7471799883335984,LSM2;XPO1;ABCE1;MYC;PRPS2;TYMS;AP3S1;CBX3;HPRT1;CTPS1;PRDX3;IMPDH2;LSM7;UBE2E1;SF3B3;RANBP1;PSMB3;HNRNPC;CLNS1A;EIF1AX;SRPK1;POLD2;SRSF7;SMARCC1;EIF4E;SNRPG;PSMB2;SNRPD1;VBP1;SNRPA;NOP16;PA2G4;APEX1;PRDX4;COPS5;DHX15;EIF4G2;U2AF1;NME1;USP1;SNRPD3;NCBP2;NHP2;CCT2;RUVBL2;PSMD14
Estrogen Response Late,0.9283096616127114,0.5895833333333333,0.735477602781755,HSPA4L;CHST8;CA12;SORD;MICB;STIL;UGDH;OLFM1;PLK4;PRLR;S100A9;CKB;OPN3;PDCD4;PGR;DNAJC12;FRK
TGF-beta Signaling,0.8809532234598899,0.6460905349794238,0.82357297522235,WWTR1;SMAD1;MAP3K7;THBS1;SERPINE1;TGIF1;FKBP1A;HDAC1
Complement,0.8506189286356881,0.7725225225225225,0.8722915388286631,IRF2;CP;CASP1;PLA2G4A;GNB4;PLSCR1;CTSC;SERPINE1;S100A9;CBLB;LCP2;PIK3CG;RABIF;CFH;HNF4A;GCA;RNF4;KLKB1;CASP7;C1QA;CTSS;LCK;PLAT;PIM1;CA2;CASP3;ATOX1;CDA;LYN;C1S;GRB2;CD46;KYNU;CASP4;ANG;CASP10;PDP1;PIK3CA;ITGAM
Allograft Rejection,0.8457972428117602,0.754601226993865,0.8555150139549614,HIF1A;ICOSLG;MAP3K7;STAB1;BCL10;CD247;FAS;ELF4;IL15;PRKCG;ABCE1;LCP2;ACVR2A;IFNGR1;IL2RG;CCL2;PTPRC;UBE2N;CTSS;LCK;CSF1;LYN;TPD52;HLA-G;NCK1;GBP2;HCLS1;CD4;IL4R;CD47;SOCS1
Adipogenesis,0.8096964256234495,0.9053763440860215,0.9080205563509921,LPCAT3;ENPP2;LTC4S;PIM3
Oxidative Phosphorylation,0.7897545353343494,0.9291666666666667,0.9189026695674273,ATP6V1C1;MTX2;IDH3A;TIMM50;ATP6V1D;DLAT;ISCA1;ETFA;CASP7;MRPL34;ATP6V1H;PRDX3;ATP6V0E1;CPT1A;IDH3G;UQCR10;ALDH6A1;SLC25A20;CYB5A;PDP1;NDUFA3;NDUFA9;MTRR;NDUFA2;ACADM;GRPEL1;ATP6V0B;ATP6V1G1;HTRA2;HCCS;DLD;TIMM9
Reactive Oxygen Species Pathway,0.7886062851146668,0.8052434456928839,0.8941080216091346,HHEX;SBNO2;MGST1;GPX3
Pancreas Beta Cells,0.6256700211577249,0.9107806691449815,0.9892820617713234,SPCS1;DPP4;SRPRB;AKT3;SRP9;ABCC8;SEC11A;MAFB;LMO2
Glycolysis,-0.7806402142716596,0.8923933209647495,0.8635492075914694,FBP2;PFKFB1;ALDOA;COL5A1;PGAM2;GNE;RRAGD;PPP2CB;SLC16A3;CLN6;GYS1;AGL;EGFR;AGRN;HK2;ANKZF1
Myc Targets V2,-0.8583125957070551,0.69,0.7673365570058976,SLC29A2;MAP3K6
IL-2/STAT5 Signaling,-0.8757126059249429,0.7175572519083969,0.7875773219150249,ENO3;SLC29A2;CAPN3;RRAGD;BCL2;ITIH5;IGF2R
KRAS Signaling Dn,-0.918804555448138,0.590818363273453,0.7472118959107806,MYOT;CKM;MYH7;NOS1;CACNG1;SMPX;RYR1;SLC38A3;ARPP21;GDNF;EGF
Bile Acid Metabolism,-0.9707011940680458,0.486815415821501,0.6899557104996354,ABCA9;ABCA8;FADS2;PEX26;NPC1;ABCA5;ACSL5;ABCA6;RXRG;ACSL1;IDH2
Estrogen Response Early,-1.0066802256099234,0.42964352720450283,0.6653883780082176,SEMA3B;DEPTOR;NCOR2;GFRA1;ITPK1;SLC7A5;SLC7A2;ELOVL2;BCL2;DLC1;FHL2;KDM4B;CBFA2T3;P2RY2;MAST4;CHPT1;REEP1;PRSS23
Fatty Acid Metabolism,-1.042181489222163,0.3784313725490196,0.6427313637252984,ENO3;GPD1;ALDOA;ACSS1;ACSL5;PPARA;ADSL;SDHA;ACSL1;BPHL;PTS;ECI1
Cholesterol Homeostasis,-1.0872875288784178,0.33404255319148934,0.5953335942085698,SEMA3B;FADS2;LPL
Mitotic Spindle,-1.1403906239125092,0.21621621621621623,0.5294462923107024,BIN1;ARHGEF7;KIF1B;HDAC6;CENPJ;TBCD;PCNT;CDC42EP2;ARHGEF2;KLC1;ITSN1;ARAP3;EPB41L2;DST;ROCK1;CEP250;CEP131;NUSAP1;INCENP;DYNC1H1;PALLD;KIFAP3;CDK5RAP2;CLIP1;PRC1;ARHGAP10;ATG4B;PAFAH1B1;PKD2;PIF1;SPTBN1;FLNB;MARK4
PI3K/AKT/mTOR  Signaling,-1.1540668152697895,0.2414448669201521,0.5790451966347094,PITX2;TSC2;PLCG1;MAP2K6;MKNK1;ADCY2;PDK1;EGFR
Wnt-beta Catenin Signaling,-1.17868969572002,0.2515463917525773,0.6185482293093328,NCOR2;HDAC5;CSNK1E
Notch Signaling,-1.2513608064300636,0.19782608695652174,0.4968694971629818,HEYL;WNT2;ARRB1
Hypoxia,-1.3880230548755155,0.02973977695167286,0.23185286636666014,ENO3;PHKG1;PYGM;PGM1;ALDOA;COL5A1;PPARGC1A;PGAM2;DTNA;RRAGD;GYS1;BCL2;GPI;PDK1
Apical Junction,-1.6620613504642054,0.0,0.0008804539229113677,ACTN3;NEXN;ACTA1;CDH15;NRAP;PKD1;ACTN2;PLCG1;SYMPK
Myogenesis,-1.9363904375875267,0.0,0.0,ACTN3;ATP2A1;MYOM2;ENO3;MYL3;MYH2;ACTA1;CAMK2B;TNNT3;PYGM;MYL1;MYH1;PDE4DIP;ANKRD2;TCAP;TNNT1;ACTN2;CKM;MYLPF;BIN1;MYOM1;TSC2;TPM2;CASQ1;MYH7;CAV3;TNNC1;TNNI2;NOS1;CACNG1;TNNC2;RYR1;MYL2;SH3BGR;MYOZ1;TNNT2;SLN;LDB3;PGAM2;TNNI1;ITGB5;HDAC5;DTNA;DAPK2
