compartment,TF,threshold,N_retained,rho,p,delta_vs_baseline
Vascular,JUNB,0,23,0.8360600179341936,6.770440866059451e-07,0.0
Vascular,JUNB,50,23,0.8360600179341936,6.770440866059451e-07,0.0
Vascular,JUNB,100,20,0.8992481203007519,7.012940808821561e-08,0.06318810236655825
Vascular,JUNB,200,17,0.8651960784313727,7.320034553398061e-06,0.029136060497179095
MuSC,CDKN1A,0,23,0.798743491269497,4.8936811324971075e-06,0.0
MuSC,CDKN1A,50,15,0.8172095503152255,0.00019935872635827128,0.01846605904572851
MuSC,CDKN1A,100,13,0.8830819908485709,6.331138703930065e-05,0.08433849957907391
MuSC,CDKN1A,200,9,0.75,0.019942126131992522,-0.04874349126949695
