target,importance_Vascular,in_vascular,importance_MuSC,in_musc,importance_FAP,in_fap,in_sasp12
AC099487.1,2.242492651677481,True,,False,,False,False
AC099489.3,,False,,False,0.4556192592363549,True,False
AC099511.1,,False,,False,0.7325734075509995,True,False
AC099753.1,,False,,False,0.5206076538050818,True,False
AC103691.1,,False,,False,0.1386391134519586,True,False
AC103808.4,,False,,False,0.1844490945645718,True,False
AC103879.1,,False,,False,0.03003529749614,True,False
AC104031.1,5.602864825931365e-05,True,,False,,False,False
AC104530.1,,False,,False,0.4276587443936212,True,False
AC104633.1,5.637292595347071e-07,True,,False,,False,False
AC104699.1,,False,,False,0.6033075376414857,True,False
AC106892.1,,False,,False,0.3996948069571098,True,False
AC107081.2,0.2463429329794921,True,,False,,False,False
AC107081.4,1.2316205579744064,True,,False,,False,False
AC107223.1,,False,,False,0.097355352037936,True,False
AC108058.1,,False,0.2256339948938886,True,,False,False
AC108066.1,0.1643930796641897,True,,False,,False,False
AC108517.2,,False,,False,0.4909509536181721,True,False
AC109361.2,1.9022585451942971e-06,True,,False,,False,False
AC110058.1,,False,,False,0.3395650005187224,True,False
AC111170.3,,False,,False,0.3764952220786775,True,False
AC111188.1,,False,,False,0.3467944272556653,True,False
AC113347.4,,False,,False,0.4741404309959432,True,False
AC113383.1,0.1368584842319527,True,,False,,False,False
AC113404.1,,False,,False,0.8342172309706689,True,False
AC114296.1,,False,,False,0.2701226369987328,True,False
AC114550.3,,False,,False,0.4074523708995186,True,False
AC114689.3,,False,,False,0.1196894643817023,True,False
AC114757.1,,False,,False,0.4056922303666873,True,False
AC114964.2,,False,,False,0.2744071190726972,True,False
AC116158.2,,False,,False,0.5279674674452538,True,False
AC116345.1,,False,,False,0.3442778741352314,True,False
AC116353.6,,False,,False,0.4945204803522922,True,False
AC116366.3,,False,,False,0.3461035262427187,True,False
AC121161.2,,False,,False,0.021976824976567,True,False
AC121342.1,,False,,False,0.2015920303617365,True,False
AC124312.1,,False,,False,0.147806596280615,True,False
AC127024.1,,False,,False,0.1043343514749345,True,False
AC127459.3,,False,,False,0.3891927558219539,True,False
AC131094.1,,False,,False,0.2197795550390026,True,False
AC131934.1,,False,,False,0.0382497818147344,True,False
AC132938.1,,False,,False,5.751834263986986e-09,True,False
AC136777.1,0.3801407286405005,True,,False,,False,False
