subtype,N_cells,rho,p_value,junb_mean,junb_nonzero_frac,sasp12_mean
MME+ FAP,15757,0.18915978625040808,7.38086766755856e-127,-0.06534881265901397,0.603731674811195,-0.07571966859026694
CD55+ FAP,10384,0.20029959514423062,1.902978496857491e-94,0.13047526402002285,0.6765215716486903,-0.024829033623497896
Tenocyte,7388,0.18340743639856963,6.661888517870543e-57,0.34265291009423726,0.7989983757444504,0.23194899179722642
GPC3+ FAP,5539,0.21755891689955958,2.4606410596937767e-60,-0.007377913450002514,0.6338689294096407,-0.0867256492150954
CD99+ FAP,698,0.21848283536159718,5.459990094568919e-09,0.09386780216488026,0.7148997134670487,0.02637559720641936
RUNX2+ FAP,623,0.08644104798184007,0.030984479347200736,-0.7393288098165038,0.3579454253611557,-0.21430543366228474
