gene,log2FC,lfcSE,stat,pvalue,padj
WASH7P,-0.41135142256784385,1.5012094602062351,-0.2740133428890947,0.784074367816193,
CICP27,-1.6583225705127647,1.4142911465155157,-1.1725468087659925,0.24097759059142787,
AL732372.2,-1.724502068959423,1.20434739801163,-1.4318975337237123,0.15217314817503527,
AL669831.3,0.5019559787987563,0.6520620866766427,0.7697978291562227,0.4414198276432244,0.9224120850946572
MTND2P28,0.7973839560773162,0.7470795575329314,1.0673347276567224,0.2858207116237227,0.8647219126237677
MTATP6P1,0.2163392000462875,0.5893967850433119,0.36705188344451145,0.7135803174324316,0.9719472655887453
LINC01409,-0.03742373870016886,0.47416002443221333,-0.07892638934499425,0.9370911730500175,0.9947620732058889
LINC01128,-0.5069368529774088,0.46933123304922936,-1.080125969209117,0.2800860890229928,0.8638594299003575
NOC2L,0.43186523092545753,0.37122105124073557,1.1633640643008534,0.24468182313698716,0.8435988688040019
PERM1,-2.8140976056078584,1.068070887738034,-2.6347479721758624,0.008419977604389684,
HES4,0.4831404039753215,0.6323764660263786,0.7640075650050645,0.4448627344313052,0.9238190203245428
ISG15,0.989539943411795,0.8209611671707961,1.2053431794124398,0.228070846925014,0.8368132522577516
C1orf159,-0.13673088699417663,0.28548437810252847,-0.47894349912579554,0.6319788242639787,0.9650443733720494
SDF4,0.6781146730157073,0.4344921145715405,1.5607065129004858,0.11859301387112413,0.7465521915191117
B3GALT6,-0.010500967338763658,0.5828943846528031,-0.01801521444578418,0.9856267160083405,0.9991405498407904
UBE2J2,0.16561187642834102,0.4047919687923384,0.40912836517589424,0.6824454610680786,0.9666053267974477
SCNN1D,-0.8118820745567871,0.5782633324944532,-1.4040006151774718,0.16031866637898406,0.7875789020323194
ACAP3,-0.6118646578542547,0.43580472953993127,-1.403988108390163,0.16032239068319387,0.7875789020323194
INTS11,0.38960406289409083,0.37135884969862654,1.0491309503200772,0.294117853057259,0.8697663011693508
CPTP,1.1285692027844831,0.8820746013270185,1.2794487009223834,0.20073909337754836,0.8178525243821975
DVL1,-0.00485742931633872,0.7310306974928907,-0.006644631111932147,0.9946983904355899,0.9991405498407904
MXRA8,0.4200584802819458,0.4320437644238725,0.9722590970433077,0.3309216670569428,0.8881794469094403
AURKAIP1,0.25292878616139713,0.6326082870323938,0.3998189580283596,0.689289866311531,0.9691754968436531
CCNL2,0.2659555166988929,0.32527669076183763,0.817628573618333,0.4135693066533296,0.9161035798755731
MRPL20,0.4600494049861054,0.45095619064327847,1.020164296513716,0.30765054736844477,0.8766381393515728
ATAD3C,-0.49170155358008527,0.6131012960305393,-0.8019907261060382,0.4225583228026496,0.9196887293190087
ATAD3B,-0.000224309410727301,0.3829690589161036,-0.0005857115751391292,0.9995326698038332,0.9998455911966837
ATAD3A,1.0398135324206168,0.4705953033471878,2.20957056949946,0.027134979721841493,0.5419787069540966
SSU72,0.231674467241748,0.4976715924172389,0.4655167599912279,0.6415614375439196,0.965445533802391
MIB2,-0.5254958640225457,0.5236370084652718,-1.003549893394132,0.31559561655633717,0.8815029831542873
CDK11B,0.13971859550334015,0.35115733048137454,0.39788033276084733,0.6907183979532361,0.9694212565402092
SLC35E2B,-0.0021360424113757567,0.45160398695678133,-0.0047299015798551326,0.9962260986269225,0.9991405498407904
AL691432.1,-0.008686894876898875,0.9176518020611076,-0.009466439075679386,0.9924469872245154,
AL031282.2,-0.2531294102689821,0.5896887952149066,-0.42925931834389275,0.6677345189352638,0.9665215739281182
AL031282.1,0.45650639718994823,0.7891102191968037,0.5785077750667119,0.5629213496575096,0.9518796431756306
NADK,1.4514611090258027,0.48603274230483284,2.986344298828055,0.0028233457146841084,0.2733114022168294
GNB1,-0.4273260791314117,0.29461750747152626,-1.4504436032971029,0.14693485528148734,0.7740833936621246
TMEM52,-1.478947403043233,1.1522635998026687,-1.2835148166587147,0.19931177200747308,0.8165907337471419
FAAP20,0.21884904875490924,0.46165831159461945,0.47404984001908285,0.6354643665758526,0.9652570180478112
SKI,0.2645619234455003,0.46924684719829385,0.5638011742116233,0.5728894525986621,0.9519923512051699
MORN1,0.4109145915083501,0.4789374126735895,0.8579713771252214,0.3909082687239762,0.9092096366339975
RER1,0.903131128128422,0.5695228935569314,1.5857679091492782,0.11279196784378392,0.7449492522172942
PEX10,0.10600682384526272,0.7097994744609701,0.14934756598089274,0.8812793838821648,0.9893715300087219
PANK4,-0.13468390709236888,0.6661786700969464,-0.2021738508571114,0.8397808150003306,0.9854757879545893
TNFRSF14,1.5379248539205879,0.3676034608370705,4.183651727376495,2.8686347640963664e-05,0.02614473723997428
TTC34,0.09719274317600793,1.067244482008489,0.09106886455210068,0.9274378722995519,
PRDM16,-0.5376175245724113,0.4944416552475455,-1.0873224754966275,0.27689431909539797,0.861246994818262
MEGF6,1.0493616255704246,0.7628730851502344,1.3755389277677441,0.1689644257726659,
TPRG1L,-0.10231863035660548,0.8224355745737665,-0.12440929541457746,0.9009912138515741,0.9926114508703927
WRAP73,0.5886720152766577,0.45137680093048316,1.304169851138006,0.19217567687714443,0.8101244769002287
TP73-AS1,0.483789151740593,0.63134549321505,0.7662827357441893,0.44350808851050116,0.9235975717533184
LRRC47,0.19531474639618146,0.4576197470499731,0.42680576538768256,0.6695208068470908,0.9665215739281182
CEP104,0.6117406692663553,0.34233390883135156,1.7869707133444532,0.07394222215239164,0.6884059950611116
DFFB,0.5839304447230462,0.3492304992519765,1.6720488215484557,0.09451469530452791,0.7232981262894939
C1orf174,0.1899619229903102,0.5937637861220726,0.3199284419667448,0.7490225765323792,0.9744082918876578
NPHP4,-0.8222738897279154,0.600688994552503,-1.3688845595389791,0.17103536297021948,0.7971446167786144
KCNAB2,-0.23752897447524973,0.5756040900833578,-0.4126603312371378,0.6798554923274147,0.9665215739281182
RNF207,0.6673366278608885,1.3403590071370102,0.49787901920867544,0.6185693160954926,
ICMT,0.11966639185272483,0.7741690870400288,0.15457397338126655,0.8771571895839293,0.9891342618712292
GPR153,0.024801134089449957,0.44889889248356973,0.05524881995639522,0.9559402356002135,0.9961922623991537
ACOT7,0.455996819148458,0.354565097841447,1.2860736206821148,0.19841736943136512,0.8160541087533671
PLEKHG5,0.19335106574604805,0.8628712446318227,0.2240786988197164,0.8226960669437743,0.983119429579309
NOL9,0.8536882009632738,0.37463879700740266,2.2786967281085024,0.022685099383723165,0.5160805712568902
ZBTB48,0.5686929266984351,0.37407045318291776,1.5202829356328456,0.1284398809204175,0.7529218161656349
KLHL21,-0.3284232117294778,0.5159864427011638,-0.636495815684998,0.524453307386022,0.9451047836907969
PHF13,-0.23966269929701037,0.6855011783280771,-0.3496167575984955,0.7266263329556355,0.9734129685309906
DNAJC11,0.08003229522030801,0.23403331409536127,0.34196967012866103,0.7323737174523951,0.9740641918839328
CAMTA1,0.06680041004608497,0.26632046747399507,0.2508271732911693,0.8019477317660916,0.9799922630480008
VAMP3,0.06334470912386035,0.7991321418774844,0.07926687690853984,0.9368203517741431,0.9947620732058889
PER3,-0.9763444911576268,0.43933575804395264,-2.2223196570763766,0.026261710632990747,0.540415428046711
PARK7,0.43758097362087833,0.588444173516551,0.7436235981501661,0.45710422269871775,0.9284706676345251
AL034417.4,0.7298912102101371,0.9525162795935899,0.766276887699557,0.4435115674365062,
AL034417.3,-0.6376823805192489,1.2676746079995245,-0.5030331730991713,0.6149409492731022,
ERRFI1,0.09394860619725828,0.6339657832468923,0.14819191931163078,0.8821913088621123,0.989391692483762
AL034417.2,0.32114933401980245,0.9567164960566477,0.3356786836471429,0.7371131820154644,0.9744082918876578
SLC45A1,0.2901817066394258,0.596757479506027,0.4862640462916813,0.6267799671877923,0.9650443733720494
RERE,0.023468894986431836,0.14836152758998714,0.15818720235404035,0.8743092878272578,0.9888260655528482
RERE-AS1,-0.20423122702593832,0.8326006741022299,-0.2452931319640777,0.8062294692411665,
ENO1,0.3852988651268148,0.7327875885036399,0.5257988415355114,0.5990279795330132,0.9593289413923534
SLC2A5,-0.17447034719033036,0.626511800318303,-0.27847894820447067,0.7806447230555446,0.9788228792974827
GPR157,0.5653834838873271,0.3668024596591626,1.5413841128892334,0.12322332830928635,0.7517170596408692
MIR34AHG,2.5264120507521044,0.6942450876985128,3.6390780367310858,0.0002736158824109437,0.0906812782652124
H6PD,1.34642867412565,0.652106225280911,2.0647382618462844,0.03894777222000953,0.5908316756941736
SPSB1,1.057905386764377,0.6931677105598898,1.5261896517220617,0.12696263987856193,0.7529218161656349
LINC02606,0.3268862633779039,0.8477987887899348,0.38557057134331296,0.6998147316908886,
SLC25A33,0.05918151749447749,0.648559001393419,0.09125078422676565,0.9272933232590148,0.9947620732058889
TMEM201,0.36605849119626693,0.48073965569645327,0.7614485030696161,0.44638922639118594,0.9245803535985265
PIK3CD,0.5699051220428789,0.7532535814681603,0.756591320723735,0.4492947427502718,0.9261920107830148
CLSTN1,-0.026127359617306646,0.40413956915341287,-0.06464934792709844,0.9484531928962887,0.9954171349673855
CTNNBIP1,0.3725216177227554,0.4018159092346117,0.9270952422773485,0.3538770861680147,0.8990725117029187
LZIC,-0.12693789619198403,0.48614371480968854,-0.26111187355713655,0.7940062354515093,0.978857302007678
NMNAT1,-0.07872575480463562,0.28871563936828504,-0.2726757545136418,0.7851024737703165,0.978857302007678
TMEM274P,0.7272410072273618,1.7171660554817323,0.42351233586628423,0.671921500211595,0.9665215739281182
UBE4B,0.4302568638631397,0.22088656557287698,1.9478634327409348,0.051431306269854433,0.6341687069136495
KIF1B,-0.00216620794222288,0.23978368970785446,-0.00903400871369577,0.992792001970084,0.9991405498407904
AL139424.2,-1.2121941613855645,1.2186297773584616,-0.9947189736436219,0.31987296375828644,
PGD,1.099465498203837,0.5050026975853624,2.17714777259777,0.029469543625883228,0.5452655718507955
DFFA,0.6609529948323078,0.4326725738970973,1.5276054797721073,0.1266105204147975,0.7522706561361965
PEX14,0.4813151936205608,0.3893759716211598,1.236119403096739,0.21641418352996433,0.8294709502432194
CASZ1,-0.33975996912014766,0.8068977254685202,-0.42106943469554103,0.673704380122863,0.9665215739281182
C1orf127,-0.8997609065638371,1.2703652503243934,-0.708269457413196,0.478777940247444,
AL109811.3,-0.39869878541994097,0.8509894629634223,-0.46851201192496794,0.6394184830470979,0.965445533802391
MASP2,-1.9939904499335375,0.8067030969795893,-2.4717773582366553,0.013444321649254312,0.44276272770076963
SRM,-0.49668306715000543,0.5265212958208205,-0.9433294932082494,0.34551239470532613,0.8953698289590531
EXOSC10,-0.22686083339182048,0.29344774849871197,-0.7730876605884616,0.4394705032694963,0.9219421825275665
AL109811.1,-1.1298122675040017,0.9801825362390436,-1.1526549655119207,0.2490520328301662,
MTOR,-0.43139649650236556,0.524437612505863,-0.8225887812299938,0.4107418805678874,0.9147291679563601
UBIAD1,0.6410515457364854,0.5265883016373317,1.2173676166812877,0.22346437833475075,0.8346264306036556
DISP3,-0.47600368991847086,1.387900875550602,-0.34296663277889555,0.7316235625659069,
FBXO44,0.5188487020311217,0.6346513970516415,0.8175333804376751,0.4136236812802264,0.9161035798755731
FBXO6,0.7387569724150693,0.7546231027098436,0.9789747620530048,0.3275924497987782,0.8870999878419741
AGTRAP,0.9691944353436133,0.5495789237997508,1.7635218407625053,0.07781251695693023,0.6937802141373294
C1orf167,0.43075476750071356,0.650630233050943,0.6620577182231652,0.507934231953372,0.9426242128911232
MTHFR,0.9964665871185283,0.41070590198770396,2.426229041988204,0.015256638209218826,0.4621950129421702
CLCN6,0.17040529803198518,0.40990842727453325,0.4157155274045084,0.6776181777278142,0.9665215739281182
AL021155.5,0.6925817012999238,0.8043726244289782,0.8610209749388047,0.3892264909624118,0.9089324216697663
KIAA2013,-0.6716366965199672,0.4020762267067848,-1.6704213079719334,0.09483603674663617,0.7237131044686054
PLOD1,-0.16222999736898844,0.279642069025279,-0.5801344480623308,0.5618239549521791,0.9518796431756306
MFN2,-0.06822214931655043,0.41719921830466866,-0.1635241542248762,0.8701057567870273,0.9879549038138113
