Term,NES,pval,fdr,leading_edge
Myc Targets V2,1.5166798901990175,0.0,0.11676727633120101,WDR74;PA2G4;TCOF1;HSPE1;CBX3;PES1;FARSA;UTP20;GNL3;NOLC1;PHB;MYC;HSPD1;MYBBP1A;IMP4;NOP56;WDR43;HK2;LAS1L;EXOSC5;MRTO4;PLK1;TFB2M;AIMP2;RABEPK;DUSP2;DCTPP1;DDX18;NPM1;CDK4;NOP16;PPAN;NDUFAF4;NOC4L;GRWD1;RRP9;SRM;NIP7;RRP12;IPO4;PUS1;PPRC1
Apoptosis,1.4834482070536736,0.0,0.11818632309217048,BTG2;TIMP3;CTH;CAV1;CASP7;PPP3R1;HMGB2;TSPO;HGF;IRF1;GPX1;IER3;CCND2;GPX4;BNIP3L;TNFSF10;DNAJA1;CDKN1A;CTNNB1;MCL1;SQSTM1;JUN;SOD1;LGALS3;ATF3;RHOB;IFITM3;HSPB1;F2R;EGR3;FEZ1;HMOX1;BIRC3;IGFBP6;LMNA;GADD45B;TIMP2;SPTAN1;PAK1;VDAC2;DNAJC3;FAS;ANXA1;GSTM1;RARA;BTG3;CCND1;SLC20A1;GCH1;TGFBR3;BGN;PDGFRB;ISG20;IFNGR1;MGMT;DNM1L;PPT1;IL6;IL18;GADD45A;TIMP1;GSN;SOD2;BCL2L10;CD44;PMAIP1;TXNIP;PLAT;APP;ENO2;CLU;BCL10;CDKN1B;PSEN1;PTK2;PEA15;SATB1;MMP2;SMAD7;TOP2A
Xenobiotic Metabolism,1.4371374598903612,0.0,0.1420294274605474,IGF1;ABHD6;BCAT1;LPIN2;GART;CSAD;CYB5A;IL1R1;IGFBP4;NQO1;SERTAD1;ALDH9A1;TPST1;APOE;ETS2;AKR1C3;PGRMC1;HACL1;UPP1;AKR1C2;PTGES;CROT;NMT1;PTGDS;HMOX1;KYNU;EPHX1;MTHFD1;TDO2;HPRT1;DCXR;DHRS7;HSD11B1;SHMT2;FAH;SSR3;RBP4;TMBIM6;PGD;FAS;ELOVL5;ACP1;PTS;FBLN1;ADH5;BLVRB;ALAS1;PEMT;PDK4;ACSM1;ARG1;GCH1;HNF4A;AOX1;MT2A;PTGES3;ARG2;GSS;GSTO1;SMOX;GABARAPL1;SLC46A3;CDO1;ASL;AP4B1;ABCC3;DDAH2;ITIH4;SERPINE1;PROS1;MAN1A1;DHRS1;LONP1;CDA;GCNT2;NINJ1;ABCD2;SPINT2;COMT;UGDH;POR;MAOA;EPHA2;SLC35B1;ECH1;ADH1C;SAR1B;XDH;ID2;CES1;ACP2;PYCR1;ATP2A2;ESR1;F10;CA2;GSTM4;PDLIM5;SLC1A5;AHCY;CYP2E1;TYR;ARPP19;DHPS;TKFC;ACO2;PMM1
DNA Repair,1.4298026994907684,0.0,0.13188446835622258,UMPS;SDCBP;UPF3B;NME1;GTF2H1;POLR2E;GPX4;DAD1;ZNRD1;POLR1D;ARL6IP1;EIF1B;POLE4;IMPDH2;POLR2K;RALA;ERCC4;TSG101;GTF2H5;RBX1;POLR2I;CETN2;NCBP2;PDE4B;POLR2F;TMED2;ADRM1;TAF9;SURF1;POLA1;HPRT1;DGUOK;USP11;EDF1;GTF2A2;XPC;CANT1;NUDT21;VPS28;NME3;SMAD5;DCTN4;RPA3;NT5C;BOLA2;SUPT5H;NFX1;TAF13;AK3;DDB2;RAE1;RAD52;GTF2H3;CMPK2;POLR2J;RNMT;GTF2F1;GUK1;MPC2;ELOA;POLR3GL;NME4;TAF10;POLR2H;RPA2;RAD51;APRT;TK2;POLR2C;TAF12;POLD4;RFC2;MPG;ELL;TYMS;PNP;CDA;GSDME;SNAPC4
Reactive Oxygen Species Pathway,1.338210397997624,0.10526315789473684,0.17839444995044598,PRDX1;OXSR1;GPX4;NQO1;LAMTOR5;FTL;SOD1;MGST1;TXN;NDUFB4;PRDX2;NDUFA6;PRDX6;CDKN2D;PDLIM1;PRNP;G6PD;ATOX1;PRDX4;NDUFS2;STK25;GLRX2;SELENOS;SOD2;JUNB;GLRX;PFKP;IPCEF1;ABCC1
Angiogenesis,1.2387632342661383,0.21487603305785125,0.28598860257680875,S100A4;NRP1;CCND2;VCAN;POSTN;KCNJ8;LRPAP1;TIMP1;FSTL1;APP;PTK2;COL5A2;SERPINA5;SPP1;MSX1;COL3A1;JAG1;VAV2;PDGFA;TNFRSF21;VTN;ITGAV;THBD;JAG2;SLCO2A1;VEGFA;OLR1;FGFR1;PRG2;STC1
Inflammatory Response,1.2091476951042466,0.3333333333333333,0.2990730484463359,CCL2;RGS16;BTG2;IL15;NPFFR2;EMP3;PTPRE;OSMR;ABCA1;GPC3;SLC4A4;LPAR1;IRF1;KCNMB2;IL1R1;LY6E;TLR3;HIF1A;TNFSF10;SRI;CDKN1A;IL4R;NAMPT;PTGER4;KLF6;ACVR2A;MSR1;PDE4B;ADRM1;MYC;TNFSF15;TNFAIP6;MET;PDPN;GNAI3;CSF1;F3;ITGA5;CCL5;BST2;LDLR;ICAM4;CXCL8;RASGRP1;IRF7;GCH1;TACR3;CXCL11;PLAUR;LIF;ICAM1;TPBG;IL6;IL18;ATP2C1;TIMP1;SPHK1;CXCL9;NFKB1;ATP2B1;SELENOS;CD82;SERPINE1;SLC1A2;ADGRE1;CMKLR1;PTAFR;AXL;MARCO;NFKBIA;PSEN1;SGMS2;TLR1;TLR2;CCL20;HAS2;MMP14;SLC31A1;BEST1;CCR7;NMI;RHOG;RAF1;APLNR;P2RX4;HRH1;LAMP3;PTGIR;GPR132;PTGER2;IFITM1;HBEGF;ADORA2B;IL7R;ATP2A2;IFNAR1
TGF-beta Signaling,1.1937597336422439,0.24,0.30178394449950446,FKBP1A;RAB31;CTNNB1;SKIL;PPM1A;TGIF1;PPP1CA;TGFB1;SMAD3;ID1;NCOR2;CDKN1C;CDH1;SLC20A1;BMPR2;FNTA;WWTR1;SMURF2;SMURF1;JUNB;SERPINE1;THBS1;SMAD6;TJP1;LEFTY2;SMAD7;KLF10;HDAC1;PMEPA1;ID2;ID3;HIPK2;SPTBN1;LTBP2;BMP2;MAP3K7
IL-6/JAK/STAT3 Signaling,1.1613538438931363,0.15,0.33519378227531166,SOCS3;PDGFC;OSMR;HAX1;IRF1;IL1R1;PTPN1;LEPR;STAT2;IL4R;IL6ST;JUN;IL10RB;HMOX1;ACVRL1;PTPN11;LTBR;CSF1;IL13RA1;FAS;TGFB1;BAK1;IRF9;CXCL11;IFNGR1;PIM1;CBL;ITGA4;IL6;CD9;IL1R2;CXCL9;STAT1;CD44;SOCS1;TLR2;PLA2G2A;MYD88
Complement,1.1590905998260492,0.5,0.3224479682854311,FYN;DUSP5;CR1;GPD2;CDH13;CASP7;APOC1;EHD1;RBSN;BRPF3;CTSD;CD59;KCNIP2;HSPA1A;ANXA5;IRF1;CSRP1;PREP;CTSH;SERPING1;CALM3;S100A9;HSPA5;LGALS3;C1S;ANG;CTSL;PFN1;ERAP2;DOCK4;KYNU;CTSB;USP16;JAK2;DGKH;MAFF;S100A13;TIMP2;GNAI3;ADAM9;F3;CTSC;CPM;L3MBTL4;FN1;PLSCR1;PIK3CA;CCL5;LAP3;CFH;CBLB;CP;DOCK10;C1R;RASGRP1;IRF7;PPP4C;CEBPB;PSMB9;HNF4A;ATOX1;USP14;LAMP2;PLAUR;DUSP6;F5;LTA4H;IRF2;PIM1;C2;IL6;ZFPM2;TIMP1;CD46;RNF4;SERPINE1;PLAT;CLU;CTSO;CDA;C3;PSEN1;PRCP;ITGAM;APOBEC3G;PDP1;MMP14;COL4A2;FDX1;RHOG;S100A12;RAF1;GRB2
