compartment,gene,rho_cell,p_cell,n_cells,rho_donor,p_donor,n_donors,detected
HLMA_Vascular,CCL2,0.41538455550312897,0.0,28160,0.7862889909151528,1.9370093375360194e-30,139,True
HLMA_Vascular,CXCL1,0.05918230656817178,2.7989318855980165e-23,28160,0.544353460639357,4.314672784229641e-12,139,True
HLMA_Vascular,CXCL2,0.2541528687977456,0.0,28160,0.7606680882177095,1.7369819668441304e-27,139,True
HLMA_Vascular,CXCL3,0.11285609377646064,1.7651605249910717e-80,28160,0.5336817535772139,1.3353359060018244e-11,139,True
HLMA_Vascular,CXCL6,-0.0011447810121189156,0.8476665630878946,28160,0.13726601513536027,0.1071000879480925,139,True
HLMA_Vascular,IL6,0.1268386858464098,2.5337753840681012e-101,28160,0.673252790382899,1.0924427359152233e-19,139,True
HLMA_Vascular,CXCL8,0.07575764626378406,3.998646410520522e-37,28160,0.6338307297150946,5.535683550774796e-17,139,True
HLMA_Vascular,SERPINE1,0.050838718781332705,1.3852006425444511e-17,28160,0.47745974642315325,2.7981104187934956e-09,139,True
HLMA_Vascular,MMP1,-0.017370369165819317,0.0035568624863563936,28160,0.3562039855535948,1.6797893917730682e-05,139,True
HLMA_Vascular,MMP3,0.0017447864615250447,0.7696912165582479,28160,0.3596252130378938,1.3738029574934752e-05,139,True
HLMA_Vascular,PLAU,0.041860542494765896,2.1047561804004896e-12,28160,0.3935306321924812,1.6464411353446724e-06,139,True
HLMA_Vascular,PLAUR,0.04113094408135313,5.028304158928657e-12,28160,0.5004936405495007,3.5203833924540335e-10,139,True
NA_FAP,CCL2,0.3362322084928337,0.0,20611,0.5174825174825175,0.08486877113393493,12,True
NA_FAP,CXCL1,0.17676534944600517,2.7165075902082205e-144,20611,0.5804195804195805,0.04785597684206058,12,True
NA_FAP,CXCL2,0.31212455216896834,0.0,20611,0.7062937062937064,0.010245193941127854,12,True
NA_FAP,CXCL3,0.164813820650084,1.9205445768911818e-125,20611,0.6363636363636365,0.026096891052703127,12,True
NA_FAP,CXCL6,0.0530021383312898,2.6541362939158677e-14,20611,0.3846153846153847,0.21702022575997748,12,True
NA_FAP,IL6,0.22465120952296416,4.3646433237035497e-234,20611,0.1398601398601399,0.6646331617926677,12,True
NA_FAP,CXCL8,0.11475053545338368,2.3137377270650717e-61,20611,0.4825174825174825,0.11210929146889191,12,True
NA_FAP,SERPINE1,0.017314315281914947,0.012927122680713606,20611,0.02097902097902098,0.9484022252365223,12,True
NA_FAP,MMP1,-0.021635863943582998,0.0018942209032479988,20611,0.15595993903683136,0.628370386450367,12,True
NA_FAP,MMP3,-0.1051521479201331,9.19595393236239e-52,20611,-0.4055944055944056,0.19083587400450033,12,True
NA_FAP,PLAU,0.13605866750575824,9.753712793347758e-86,20611,0.5944055944055945,0.04152149441031855,12,True
NA_FAP,PLAUR,0.13602789817580707,1.0652218944098446e-85,20611,0.6363636363636365,0.026096891052703127,12,True
